tgyomglwdj,qndhkvichf,cmjcgonldc,kmuzfoiyjf,exvxyyzjfk,pEt,ybegylhlth
0.4685,paxydhnsjq,DOG,-0.34,khdgtbzhak,DOg,0.137
CAt,dulymfodfy,wsrrvrlxlr,0.0235,0.3365,cat,gwshhcmyxi
cAt,zmaqvssprp,DOG,-0.0235,774,CAt,osbzcihkpa
-185,-158,-68,rvasftepwu,551,dOG,224
631,0.478,-545,-0.139,tptzohjlsz,dOG,CAt
0.4875,0.447,42,-319,-0.2065,0.4185,383
876,kogsffqkid,jqyiqfiylv,CAT,edmphvrmrl,caT,-0.486
0.384,-0.3415,DoG,-0.3535,ucipsxpzdx,-0.0215,fxyfighdiu
dOG,-0.407,fdoagougzi,ugfmnrfqnk,-886,gnvvaevvxk,-166
cAt,10,vswekkrfyc,mytdczadvi,dog,0.404,447
uthjbsihcx,Cat,93,929,lufmnagojx,DOG,0.255
khceyrhrzh,73,-837,-22,0.151,812,0.018
-0.0185,0.2775,uktfbivfqh,tjzwtsrtnv,392,dog,ixbkuqstyt
-219,qirnstyrzn,677,0.008,snhynzdidq,0.2405,xtyhlzgckx
doG,cAT,565,nmnuteebjs,839,CAt,CaT
omdgwdomzu,Dog,-292,dkxyxipggs,-372,CAT,0.321
-0.0525,544,-0.186,ixchkhhcdq,ugjuukdgvy,Cat,dog
bpwrclkqim,rdrojemwzj,-397,-283,-70,cat,lgvdhqavci
-395,-0.41,-0.3935,szcxevawee,drmyavdakk,785,395
-947,-0.422,-275,0.4115,wogzhoswja,CaT,167
-967,ninzhnmycj,0.282,0.465,wfxqsuuudz,0.4295,0.246
-875,860,dOg,ydmdrdzsfk,CAT,qdavhnitin,-379
sxvslxqqvo,0.3255,-888,neplaphwdw,-166,cat,-0.401
nldcbyiidj,ojzppfkdcp,-712,0.4945,0.1295,cat,-0.2175
-782,vppmjefcfk,-199,iqfnmmkntm,-0.315,401,-474
-992,-0.355,dOg,-0.037,693,CAt,fskjkxfwfl
-916,-0.0685,-0.075,0.3695,itzdazdzoa,caT,0.394
-0.2015,940,caT,0.2755,376,CAt,cat
CaT,cat,-481,0.123,0.179,dOg,90
-0.218,doG,DOG,suxwpadvxp,0.1975,cat,462
leihdoybde,853,krgzmaiubx,0.283,681,CaT,lsmeqsjsxi
dog,cAt,CAT,ggoflnnpqx,ogzvsruxgg,508,899
ecdlxgxluz,0.1065,-0.024,kbtzttfhqc,-0.209,Cat,-0.4315
-424,858,0.329,-900,0.414,CAt,216
-849,-0.1365,owgvvnxtcw,-128,-0.444,cAt,0.408
-0.4315,621,0.417,-0.201,vgmelamuxz,dOg,-0.069
szmxvkfuzl,jgyjsvrgae,mfiepbtapg,-712,cAt,cat,vhdzjljori
0.225,ikzgsdjvlt,usnlzgfltd,meqfwtinfz,doG,cAT,-0.338
djbsyovmna,CaT,klbmozbgnk,DOg,-0.3105,-974,836
-0.062,mfatoosfou,0.1985,-158,-601,doG,0.4855
DOg,DOG,-0.069,-0.3625,krxxmdfgej,cat,-0.289
-218,371,-0.367,-718,cwfcvptnfg,-0.131,dog
694,319,bjknoqeqgz,381,cAT,dOg,npqmhjcexi
-796,536,300,-138,-464,cat,CaT
DoG,cAt,-0.2585,-81,hrhodavdhq,DOG,-130
-0.199,390,944,cAt,-144,0.077,-554
kvgyxnylic,652,-0.2495,0.036,qdrsexvkhz,iiykneuxtd,-0.2105
999,kyrbwecsoc,gqymljmshw,0.2665,365,cAT,0.2195
Cat,661,0.4325,dcfbqrmstr,-0.1835,DOG,603
doG,fwodpyskds,hbqsznowyd,wapuwuhyji,kiwsexvkks,DoG,xqrjjcbwba
CAT,bjerkraugx,489,-722,-0.4365,cat,dOg
0.3725,930,DoG,wcqstaqine,ddwnzpvzik,cAt,aezcztsxfa
0.4105,dog,CaT,359,qfrtrlvczz,dOG,604
fzbysusucl,tyzpjvixzb,vfhainwmla,doG,0.177,cat,kbduhzuemq
-694,0.027,0.015,CAT,0.1145,-0.3845,CaT
86,eqbduyzfhe,xjygdewbwl,rvvoncfbhj,-0.135,-714,cAT
govnnkcjwi,-0.2425,-0.0935,isvcmmqcpy,0.444,DoG,-0.171
-0.328,ysxrtedfau,0.195,qfyxstzsuu,zrdyswoncx,dog,aqqxzmhsqb
-869,-152,Cat,pnwjryxnic,tjzveigghd,dog,608
doG,pevtvwybam,wuvfujiscw,CAT,-628,cAt,-0.054
-718,-987,0.1995,-0.1985,-46,CaT,0.261
751,0.177,dtigvophbx,-0.4255,0.1515,-0.4945,0.351
593,958,-0.1535,urtmwxvujy,-0.487,Dog,wgaooqpwjq
-0.447,0.221,962,-0.388,0.2365,cAt,552
doG,0.1925,0.338,111,-739,CAt,CAT
0.09,-178,-0.339,gyllsjghjt,ikzxrgkuhf,cyuwzrxbts,0.226
-0.495,glhsjebmcu,0.335,pelqnahxax,Dog,CAT,214
0.285,cAT,ueuoycwyea,hvfkwvundc,-215,-0.09,rjgcupvinf
-209,924,-35,-468,-829,-681,usdfwmhfyg
gdewlnbwkf,kkgppdchsv,Cat,lormijhgzl,bqyxddaypx,DOg,-664
0.072,0.4215,tlktyqcqwq,0.42,-0.039,doG,ewyggszoem
-634,0.423,-356,-0.0535,0.378,DOg,0.335
826,-0.215,856,prugddsdis,azmptrffjw,dOg,hztmhiksaz
