pEt,bqlmstwbpx,nktffuixql,dgbxttatsh,qcvogzpynr,cawptdkcws
289,-945,-0.272,riqfkdhjiv,-0.3785,ywjtqmyyln
dog,0.023,-378,-0.208,0.2715,-802
tavgfhabgp,-374,866,zvexzwmwzk,dsvqybmmdw,gijkcfiuvq
347,-0.2165,-0.4765,-172,411,DoG
Dog,CAT,0.1995,dOg,-234,DoG
CAt,-581,-907,-0.4465,167,0.0
285,-0.24,DoG,80,qurqscgifd,416
cAt,406,dOg,-272,893,494
CaT,-483,-0.482,wgwragxifu,dOG,372
cat,0.399,48,dog,-458,bpglajckhn
-439,-0.349,0.139,-985,erzcovevbc,cAt
caT,672,121,zbrbmbfwom,0.0245,0.4685
caT,dowfafisoo,0.202,DOG,dOg,0.247
CAt,-0.078,Dog,-0.1835,103,-252
-722,-918,tnvlxjsonn,DOg,Dog,221
-0.041,jojfekpfhq,-43,589,xpllsrfhtb,0.2585
Cat,-405,581,-15,CAT,apmpwgbtno
fhbjshybhl,-0.2775,DOg,92,651,445
-0.496,trpmlrpint,dvwbiipyec,-0.01,jczbcoeuzq,ejnorjttrc
CAT,-0.135,556,qmuttglvex,Dog,caT
DoG,-0.135,CAt,0.4415,dog,Cat
CAt,wxqaknglmj,891,DOG,DOg,llkjnhfgxy
ckdofipgky,scfykhizrj,oohwxuvaoz,dOg,rrjinsfvti,507
cat,cAt,caT,741,-675,-203
CAt,ftsrvuzmzx,cat,-0.0955,-960,-0.2005
CAt,-0.4635,-838,dOg,caT,-234
DoG,0.3275,-0.294,-588,uvlulelewf,0.119
DOG,654,0.435,cAT,-0.315,0.283
cAt,0.3575,-0.482,-0.085,7,-241
cAt,oqshokacvu,iwjbshofzh,612,doG,cdbjhlyvmf
cat,doG,793,870,rltueedrcp,0.301
cAT,pnjpxxlhgo,863,ygrxlcpgtc,lhdgldkeka,zpfioohkxh
-0.3085,ovzduvtuhk,506,399,0.0505,-574
tgkrrfwbfy,caT,-0.3165,btxcsgyalt,-0.407,-0.423
dog,256,0.206,ggooavgjqq,hdkxfohrmt,-311
DOG,hfazwqrwpm,tsczrvzefc,119,114,0.3315
Dog,tfpaphutow,-0.3045,jvaxiiyjru,-834,0.3455
dog,lgncpiipgd,Dog,sdeznbfyyu,wanppzgjpq,-0.019
doG,ffncofkwcj,-758,mzvcirxisr,713,bemmikzgby
dOg,DOG,614,0.072,-0.157,469
-0.241,Dog,leaxeemkza,972,myjtetjjor,DoG
347,lxkeupkdgd,548,-950,0.004,thwhpprpms
dOG,cAT,-894,-0.134,jgllqiccvh,-742
Dog,-0.1465,feusbcygni,-679,0.3815,caT
DoG,cat,-863,-674,724,450
yvfrjdhbku,-548,-0.163,-0.2555,-311,215
DoG,0.255,ultghtixuq,0.0635,Dog,754
Dog,815,-0.0975,-840,392,-0.428
398,-637,CAt,ihfhsmasxd,bkafgtubil,-973
doG,dog,cAT,caT,-348,0.064
DOG,-658,0.0515,-0.224,doG,doG
hjrjnlcizc,396,-945,-0.407,-0.2795,-0.0355
cAT,jwsvacecru,-0.007,hqjocpsolp,0.3855,238
cAT,0.0125,-0.132,0.3765,xlfnivwfsn,-0.213
DOg,618,whrcrwtfsw,lscvpxleyl,-0.428,pwacawwwzx
cAT,-0.1645,0.0635,392,CAt,xpjbhbkqbc
caT,rlvfsuifmx,-0.1275,335,-0.0465,kejvppgwox
-189,0.435,-0.0915,431,529,22
-389,692,CAT,426,CaT,744
DOG,syujozrtgu,bomeaolikf,lmjpqvzhao,0.223,-602
ycgcswkouu,-330,-0.223,cAT,-494,0.337
cAT,eijczyeaqq,-0.4425,-0.217,tgczzrvkae,0.463
DOG,0.233,0.334,Cat,ihfjruihlj,-769
dOg,ssaqazdncp,494,CAT,DOG,195
cAt,-1000,0.365,DOG,egmcjunwfj,-0.2495
DoG,0.38,30,-359,14,-0.472
DoG,cat,CaT,CAT,Cat,315
doG,0.3095,-314,290,Cat,-0.071
mzayvdjtex,-0.384,rrxnrjzkmm,cxkrjucgcf,-0.028,cAT
fwuqhcbloh,-0.348,Dog,pcvvpnnffb,-0.3545,0.413
CAt,DoG,kjbedsqieo,0.387,0.4025,-399
CAT,cat,vdsgmgmoaw,0.0725,cAt,krjsocteif
CaT,zidrxvnrdg,vaghjgtvre,0.4885,miitsoqfzf,-793
cAt,apjblvmoax,0.019,DOg,123,hwnqwepwfm
dog,phokhgkczs,lguhjgmqkf,-632,dOG,kvrugmyzor
DOg,doG,705,urcnokyevn,-0.4985,lylwyndhhh
DOG,880,0.3525,DOG,380,DoG
cAT,gnansrildr,-0.44,82,220,CaT
10,-971,-0.4325,0.1205,-0.4115,kmgpjgxawa
