iftegiivxg,lohbzozgfm,pET,qbxvtzbqkc
doG,tgzdsetnhh,woyuxrvutz,0.1845
0.444,6,dOG,-129
838,0.1005,dOg,dOg
-171,cAT,doG,0.1805
ertbuserne,683,Dog,jkmdzcdduw
dog,DOG,Cat,0.3785
0.1525,66,cat,dog
xnanfmvkbr,-0.493,zknccbqucy,kinkwndlya
oupcrtnwva,630,dOG,0.4905
bzbthrurze,tlkwqymagz,0.1695,avksxivers
hpuhuxnzxj,-0.2885,dog,kqlyckpkyi
rytvtbzkad,wuxplkjpft,CAT,0.3745
-439,tyxhdxkmdk,cAt,dog
-0.016,0.079,Cat,-290
827,702,dOg,wthbswdahb
0.4545,vvjuhmzpym,953,-0.4455
0.443,dcxndfzlcu,DOg,pnwnqxjqzi
0.022,723,-660,naezlwmhyf
CAt,DOg,-390,onuekrgtna
ltvliidcct,doG,Cat,-599
wcthshfeuv,-0.4035,CaT,-576
0.025,tknvwyrhyc,dog,-0.001
-0.113,jkbgvhydwc,llsoomdbmz,doG
0.0575,991,doG,-262
cpuknikxmk,Dog,CAt,djqdbyplbn
tugbkvkxft,-255,dog,DOG
DOg,DOg,Dog,-0.071
0.1045,zousqniozk,CAT,krwxgymxrl
