tfllaivjgj,pEt,vangvkzjco,rmclzusuwn,oyhptmnsdh,stevgwpkmg
bnmhvnctzc,cAT,51,epyrslnudq,0.0955,dOG
343,dOg,766,-0.0945,orreydzbzh,toylclgxpw
380,-696,-252,0.24,vvfbfycckd,-0.2705
29,DOg,caT,donwanavfe,-347,bwrjydardo
dOG,dOG,slapbrsetu,tgrcnlrtcb,Dog,ntaelcynws
-0.077,xxrnslgqqr,DoG,-0.1895,0.0795,0.4905
jngyzxssch,CaT,-758,0.2685,rczswpqeyy,dog
825,xaldnqwtkv,vlkgitymcr,-0.4455,kexyutxcin,-0.244
0.3585,Cat,CAt,eqnwbohegn,681,0.193
fzkewsegvv,DoG,xpzwisjwio,-742,-0.326,-407
alxbmuopgh,DOg,-46,0.39,Dog,DOG
fwbtzyadea,CAT,bxcuvzmlrs,ulolqmdbwr,-0.4805,DOG
0.161,CAt,23,0.419,0.2445,usvagiisng
598,ehxoyqddlk,wjicwyfpgh,986,0.293,dog
zmouqcpsae,ayoinuaoha,-903,0.008,doG,0.3315
178,cAT,-576,-0.4315,-265,fnvmlszgiv
dog,0.025,jyylaulgik,695,395,176
cat,Dog,466,-353,xrffjbbell,CAt
-0.0415,atjhqpeiib,acmxlncrjb,0.054,0.415,CAt
jetgcwasyj,-0.373,0.345,-0.213,bjmmdriatd,osacovthel
lkchesldbp,cAT,ocwlyfqurp,iciqfvluzt,vzuvrhnsze,-629
iprcczpdsg,gpgwmavict,-488,dedmusfbcm,-0.155,nlvciqclpf
-204,Cat,kaidzrgqaj,bmckavrtlm,pbrpfngwqo,cAT
kqafwywrqg,doG,162,654,irfcekxjou,-0.265
caT,Dog,456,caT,xqpspkjzqd,-51
tvwvkavnum,86,cAT,-0.2925,-327,0.16
cAt,cat,xxvgaruusp,-652,-391,pawcjqvpkc
xikvwtwquy,cAT,czckfmegeo,dbjhxybznj,ffcarxuezv,669
dnutquekif,DOg,-0.108,0.205,-135,0.4125
-0.437,caT,tedwuhgess,DOg,pmnlmciebf,ykcxbpzeyf
-0.4885,DoG,247,caT,cmsckfhdba,-0.3785
-0.086,-0.4095,460,orkcnsmajh,cAT,-0.2665
