reexnsimov,tqoblnknpk,vultqzohta,onkplrygrx
percdcczfc,977,zvlppatpls,-0.4485
CaT,dog,294,avmrnkqutv
pontjxhmty,-548,-981,qnwezkkvbh
-728,-490,dOG,251
cAt,0.45,422,150
-0.238,-0.415,-707,wcwljhituf
-0.162,-615,-0.0935,DOg
drdgzruzhx,kuzgguhlmf,0.2555,DoG
cAt,-0.24,-448,-0.182
cat,0.1765,cat,cat
-0.499,Cat,-0.449,dOG
cAT,-190,-951,0.193
DOG,aericnofzt,-0.3495,rkopsupoks
0.4165,kzwbsfcrmq,awjbzkraui,0.0005
bhdnvxwvon,-0.389,fyyzrkzwnh,-0.252
doG,uazcpoqdbv,vwvxnqrywm,-985
pxqtknwjej,703,0.362,-612
cAt,DoG,783,-0.0515
-404,318,btantzbpoe,0.11
duidajlbyx,dejmtmolvb,-0.1775,-658
380,ordzvkwzgm,jwiqwgahxb,DoG
-0.245,-350,-276,61
0.175,0.1715,zrztdsonwf,-0.453
-0.195,256,DoG,-359
0.2835,rqcuhftmis,tndwtlabyv,-267
aiuaamgdky,cat,fwwkkagnss,pwgbuuoezi
-0.2465,-0.2275,dcnwhhsycb,-0.0555
cvdhovkgbp,CAT,-0.225,0.304
kopdgbqhde,ilwkttfmvx,-0.047,-369
-0.323,-0.259,nfrboefffs,-0.4735
mbdrqprmvy,doG,mtezxyfhhu,caT
-121,-0.2425,-0.0365,-0.0745
0.0695,tsblyqnxxj,Cat,qxzzxyahgo
0.153,0.381,-0.4995,uqjuxfbwxt
-656,985,CAT,pklpoexebq
324,dOg,-0.1095,pucgpdbhto
brfpegltil,949,0.3295,vcskpwgxwe
526,uuifkpxxoq,824,CAt
0.454,wdmstqxidw,292,-929
-177,lbbxuwvyxw,0.3815,0.054
-96,-0.0935,436,-0.0475
kbtfdsbcms,DOG,-0.408,oyutjbdgpp
-0.079,cpdszszrsq,-0.3735,0.0915
DoG,275,cat,0.308
946,-861,aoowikrasa,0.4055
0.261,560,qjdnlexova,dOG
tnuuuezjpt,114,0.1355,-373
cwiyeytcnd,-172,oldjzvvqms,nhtovmgldw
-0.1275,408,npsgppyerd,fdnccotrfj
qporyizdmz,-58,dog,-0.03
-0.066,Dog,wtqzmxrxbk,-0.2505
DOG,0.2565,gbfqwgvfhx,CAt
-0.3505,cyvlgmvopm,0.276,duedayqbbl
-736,gdaeqjgnup,krdchyajhm,851
ufnvttjctu,0.021,xspdltpicp,-0.0185
CAT,0.357,dog,0.429
108,-649,cAt,-0.1255
nezslvtrvd,623,ggufoenril,-0.3495
DOg,vassfjrpej,700,-0.3575
0.1035,Cat,-0.0805,zsbnjlkqmv
-0.186,kxgttvpabf,-0.39,-75
0.3145,-886,bjoipbkebf,729
ndytatntxf,-0.381,cAt,-653
glmtmhqgyc,985,DoG,cat
-413,gposfbcvpi,sgyfqbptnu,Cat
DoG,-0.3315,Dog,DOg
cAT,CAt,-974,fhgkelxbzo
673,466,ywvuyiddjr,pxbjrzxxoq
0.025,-0.317,dOg,riejqymqcc
CAt,68,944,sequvroauk
uotafiodiq,tgdaqfxwnk,164,fihipxarfb
88,skccnzenlu,cat,-654
-0.0795,npweefjhhv,-0.117,xadilqhbpt
adxbypnlkf,oxryyrtxoq,-328,dog
-0.029,0.31,Dog,0.3155
pqcxmeekpb,onvtfvetkb,Dog,-609
659,215,rsnkleucux,-413
-0.1175,-567,Dog,-0.457
Dog,CAt,vjwtgrcnay,pzqlbjqzfc
0.2295,ueencrkfst,-0.1955,-103
0.1255,cAt,-0.3765,wnbkbyhwgy
131,-0.497,jditisraxj,qlovbupgki
979,gukzrvuliv,kagfnannls,-906
76,DoG,mqojrclodb,avnhnlvbkm
7,hyhmxjeovl,-0.4095,bwgxgjazyp
-0.043,-0.3375,-0.4775,dOG
uivvrytrea,-0.4565,-0.0975,0.422
Cat,0.488,mlnkansgwm,-627
btwqjbmvej,187,-0.4015,172
dOG,CAT,wtlnnpfccd,-167
5,188,abyrlqchtf,ltlwurymhr
