tuojdejsmf,hpmghhabok,mcntydblkv
515,0.039,Cat
-0.367,-436,-145
-0.2825,-0.1845,-0.4235
cAt,396,-422
-989,-140,-0.476
gxhxbfaglw,-819,cAt
0.4325,svoibacjan,CAt
ociesmxshg,Cat,spxedivcrw
-541,dOg,DOG
337,aggyakcfvo,hsmodmrzrd
dOg,150,Cat
sduofgpocb,dog,-613
-0.181,mwwofijtmo,822
0.02,-0.492,srnsbvbuet
-421,fhtraggsao,vyrslzyrtq
-0.055,-0.3025,-669
0.351,0.045,doG
31,-0.372,0.271
-0.417,-0.4945,884
0.4325,-402,uaivbqxscz
-0.3765,Cat,cebjoavylp
-315,0.396,jukfatuqge
nvkyyptxgp,Dog,0.34
ohazuzcipq,cAt,pgbrwnwqwa
0.43,-831,-0.2405
roceevnmde,-0.427,elwfakneqy
CAt,986,363
375,jfirsiidzy,-0.481
-0.479,mjaauysgiw,0.303
0.2345,-0.222,-976
181,-520,-0.029
igtyukydku,vjvepgnnbs,DOG
-0.2375,-0.1555,uipcansbke
-0.089,doG,DOG
grcxorlsxq,enywkzhvhi,-0.4915
199,-0.252,ycltnxvgvu
-0.043,716,Cat
0.158,565,-388
-397,-608,0.1205
xyuhgfmylx,-740,eexptsbvzj
dOg,-0.0535,-4
-0.222,flabhouofu,911
-17,xdkgphiasr,gjgoyoembf
lhukdkiwhn,0.272,-0.155
0.3575,-751,-662
0.4675,wrmynjtnqk,-0.023
ftgsfvimyc,630,642
ozciezetsx,-320,bvitiiavva
-298,gavbmpdyjn,-0.278
tspuggjbfx,1,caT
-0.1335,ypfmxsienz,-168
cAt,470,604
izyryypjjc,zolobzsysf,doG
ivljziruhz,0.4225,364
kblgyuqxjl,ebcodaupfj,lfxxgdsqbj
-0.314,cAt,-0.208
-174,rsnvfiapmq,-266
-0.3025,-656,-0.434
lsvvvwyfgi,0.1865,283
-528,dOG,960
anlajcjrut,dog,vbwjtavppc
dtfaozkjin,-356,-691
ztjrennhmv,tlgydxmomg,-89
doG,0.359,-727
sbkxvdvaum,-954,347
0.0315,-963,CaT
416,-0.421,dog
fcbvnrlyqt,fmadsiswxu,lkhoyaigbo
0.1245,qsisdtshbs,cat
nmelfonavy,DOg,0.0065
730,961,-903
DOG,942,ejqrkbkguo
uerdepjgpd,-0.227,-0.381
0.3945,xzfmxdbukc,dOg
DOG,jaolrqmdea,gugjbtncxr
-404,0.247,-172
-447,yqoudpdvnp,lamrjerpch
-37,jgjbymbdwm,897
iwylikomzb,doG,239
zzsmnjvphc,-816,0.4465
-0.3285,0.293,-0.077
273,-0.261,595
-0.4845,0.4075,-964
ofmplasstg,nevljnwqym,nwghhazbev
bmkqnwvrcs,744,-164
0.099,unemzpdjxy,DOg
0.378,ymgzzdadci,dusvsdxerz
-0.1265,gzbhrhnetg,-511
jbsdmyhhzq,jachdvohxh,rfyzqhnhju
-740,mkpxjigysh,DoG
0.3875,rldpiukzye,slmaafuirj
CaT,-524,-0.3155
0.2525,-613,919
-598,xzysifelja,CaT
-0.0515,DOG,cAT
821,-249,-0.199
DOg,-364,-0.1225
DOG,-0.468,qmyrbpqikv
677,-0.3745,189
