kmrisvtffn,oytreoxtyb,wpjqmuxmqy,mvfljwcpbu,Pet,okmqblqudn
-0.322,-654,adxfnnqrrx,wkgiehdmji,DOg,Cat
vfatqlzvqy,0.0345,cat,-0.2715,-0.498,0.2455
0.2575,651,dzdgekjkbl,bbupcysvth,CaT,0.222
CAT,305,600,CAT,doG,0.284
ktfukmjhyn,851,-965,-0.342,754,0.0085
cAT,doG,cngztbzcvq,-0.0985,dog,hutseyqson
0.1345,oqktnkiheo,0.1695,CaT,cAT,jgmywfnoyo
0.3035,-312,ikvyewzfwn,7,cAT,-394
0.1545,orhfarzsom,175,-0.0565,CaT,rwkbovbpkh
-848,dOg,dog,0.0335,cAt,-575
cat,-0.362,kbcbifcovm,0.3905,dog,0.288
gaimhmqosa,zijhxkyutb,-268,-0.205,dOG,lbhajwbmdy
0.286,343,984,0.0705,CaT,-581
-206,-0.1365,cat,103,CAt,CAT
ogmqwuoybu,CAT,-845,Dog,dOG,767
0.389,375,xqeivldhol,rpjldydcpy,dog,caT
0.4565,-0.189,dog,cAt,DOG,doG
0.3955,-468,0.1665,-0.0455,789,CAT
wvucmmnobt,-0.089,83,-985,doG,0.229
ouxxqgrrce,djnferkwzs,0.4125,-0.0745,DoG,-987
ivrujzgwyu,0.4485,njrbvdkbhk,ypaedtjcef,doG,0.1815
rooqkqyaga,-701,-132,26,bzupfwepun,dog
laatdqdpuu,-222,inityekvgj,0.1815,0.033,DOG
