evjpwzczxn,fvzynrhhiz,xmnigibcqx,ymgklniqao,oreixqpwjt
-0.445,339,dwsbvznsjv,-0.126,dOg
-0.0055,0.4,-0.1475,-221,sxktfaeryv
-0.4075,doG,0.4555,-0.317,-60
doG,0.1575,yrzlaavkrl,-0.2805,-0.452
vyzftcjdty,atyyyaciol,doG,0.0335,0.1515
zyrwwojvbn,wgorqldozp,hvgchqrolm,0.296,Cat
-18,184,470,745,0.1455
cat,-0.3195,czltlkvnnw,291,-0.163
-0.317,brqeekkqsd,sykkfbmveu,0.128,kjijiorvdg
459,-462,iwwcgoknwb,0.3835,154
259,xnoetbuyrf,833,jqdzgvmgky,bzhbmtacgf
-0.377,0.281,feyuhcxgyf,gunepogkqx,-0.011
qyfomxmxxi,18,fezjtxgcim,955,21
dOG,hfmqcwihrd,hbxkbefelu,-373,DOG
-0.178,dog,mckahunjmy,yifbihielo,-112
cat,dOG,-953,-0.0865,vrsujuotpv
912,qxsiyvyjgh,DoG,0.279,dog
rtmveuujer,zwezjfhymr,glwvoijlsj,ynmlvmtyos,796
-0.349,605,202,lcoyjyyhbr,0.1105
-145,tnkqhkantn,xidjzouqph,-0.3235,doG
doG,-753,0.4035,-0.178,-0.475
-416,-455,316,0.248,dog
dOg,-77,-0.438,-0.0675,nsugybrige
zraekoefcg,CAt,CAT,kgznlzcilp,299
-0.0515,581,194,-0.481,-0.361
-0.3195,DOG,-235,jydyaadnsp,355
fwpjalmxsy,0.485,-0.1295,126,DoG
dOg,0.218,afrtukwtjg,caT,iteqxhcizk
swwrmciosn,0.2305,466,-588,863
469,0.2025,vtgcajsggo,CAT,cAt
mdvyxkffsz,dqngeshbyy,350,-846,183
569,sdgkqhfgej,944,DOG,vvmyzoyydk
cAT,cAt,nntzmxrzwp,0.1915,-395
978,-0.465,-0.0095,hahefvbzxp,585
gaitismxaw,-0.236,-0.021,lwskneqzwf,200
ttyrqqhxum,0.0765,CAt,tmpekrgvrr,zipvzoybym
cAT,hbciffzsek,-605,-0.405,-294
23,qwlikvlntp,-0.3935,-648,Cat
-0.148,znvtzddffq,rsibwlwydd,czcizojdhj,0.0465
-863,lgzczqnppf,kykbqpceoj,pmhsadrsja,wnuhcmrkqt
-0.426,cjdfczinto,-669,wcrqcbabov,-419
-0.4165,frzlgderjw,0.098,-408,vgcuopwadf
0.389,215,ffxsnrvdmg,DoG,DOG
vtwcpffekh,551,nmdcjyhsyb,-719,0.273
680,-0.006,zbncjdlaai,-328,cAt
ezqvfjrsez,hmvkraawaf,CAT,lbfycvwnne,0.041
0.3775,-677,ieyuhvpzgp,zjxyfzrftd,-0.454
muxqzhxydz,vhzwdfegch,cat,0.1375,-0.2
kwsxzqxeeb,0.0945,0.3395,-0.3235,715
dzpkdobfsc,swzqglkveb,-0.279,ccahzhpwnh,DOg
CAt,0.028,-759,-0.2275,-0.1425
-810,583,fwwgokqyxg,uirejgsgqr,DoG
