gyawhzzbwr,phjcuiussy,cblajnvmim
0.436,xhhjassiqw,Cat
-0.271,-91,vkqpkzmzhh
-561,-0.262,-784
-427,mefhwbvhla,-0.001
628,0.3015,mbcddxixzu
0.1635,0.312,vqbxjwnpkk
0.264,0.13,-658
-0.052,253,821
81,gaichnufes,CAt
-0.1505,kfailgffwn,0.4515
mdfycxcmmt,0.2425,0.1945
416,qqtpzxctuh,0.278
atqirzipra,-919,96
0.3155,-0.441,827
-324,fpvpsfdlyh,160
bayhzvvrbf,hklpypukbf,wxoenlkyfd
caT,lmojnqyvsm,-0.1875
cat,0.4585,-429
210,myusgennlp,176
iqjmxfqeoc,dOG,CAT
0.051,298,cpkpcticxz
17,0.173,rfdaoqfsdk
doG,0.1655,-0.153
kcxlffkdeg,ktjmfntmkj,-0.0215
-0.3585,-0.2055,cAT
641,-0.026,0.3665
zwwbkwlnki,681,dog
-244,DoG,0.2895
mksoqrcvln,cAT,euramgclyw
zaklspwcze,vjxyelkjnf,-712
242,-0.314,604
CAT,0.1125,dOg
670,yzfjdjqstw,-0.18
-0.38,0.009,msrkzmxiju
223,dog,dOG
480,575,-0.1975
hsezbnstou,211,Dog
doG,0.4535,-22
-875,bymbvzbqgb,-92
-662,-122,114
773,96,dOG
-0.136,cAt,0.114
180,588,0.0445
CAT,-0.346,lzyrttocdq
-0.048,-894,949
eqygpftxmq,0.4325,-0.2495
cat,-0.1265,0.175
0.0395,17,0.3135
snvquwfbig,-984,-891
0.37,296,-335
-0.1945,809,-445
cinouyfujd,ustavumulc,985
cukeladahj,0.29,-247
-968,-277,cAt
-0.262,tgbmrvhggi,trmdzszqbn
969,591,0.4665
-522,-632,kaedfaannz
-0.1915,omheadwtkw,dOg
0.2695,DOg,moptiiqlyh
ggoyvhykrl,-414,caT
304,0.3745,DoG
-552,-0.255,835
dOG,0.442,-0.4165
xvlovtxytb,qngmolrsus,ktxwarcxwj
dmyjyttady,-107,dOg
qabzrlohvj,155,fushezjala
asplhlvjtu,-0.34,734
mebyahvmmc,oitoexnpmm,452
Cat,uboqtbtnop,-0.293
-942,0.469,zlhbjfbtll
-0.053,dog,tmwkbskmas
