egqktrpmmy,PeT,gqpmjlcpcg
mgmszemkpi,-0.083,0.1575
nazychsczt,dOg,0.0785
cAt,doG,lbhrglaxpq
-0.0815,caT,cat
-0.299,Dog,hicivotowx
DoG,Dog,slvndfikmw
-816,0.1005,-0.415
-605,cat,967
508,Dog,kgxibegypt
0.0645,dOg,0.4055
-0.2465,dog,CAT
0.445,-322,0.075
293,cAt,dzgkekttqq
-0.2595,dOG,0.3595
zrdnkrlsvj,DOg,178
dOG,cAT,-0.0405
0.454,-540,-0.2295
224,dOG,898
-0.3525,DOG,cAT
0.3095,hwestjzuaq,tuzccnjxry
-0.384,cat,aektakbptm
-331,DOG,401
Cat,dOg,ztmxmocsur
38,-758,CAT
dkjghymdre,-0.1205,bvhrtznrra
fkpfbajhoc,doG,726
-831,olpnokbfhs,0.3755
gfngelgkhc,Cat,wwzgwgistm
CaT,doG,mncwgwiznr
DoG,cAT,ojnbdhjinh
-534,CAt,137
-367,DOg,-949
0.347,DoG,pziqikdkmv
DOg,DOG,yxbrzkrzar
-0.1855,dOg,-0.437
683,884,0.0305
0.228,0.286,aklyqtwucb
upthzsefzj,cAT,0.2845
-0.297,Dog,0.1955
-0.1655,dog,qkdedawlgb
dog,cat,-250
-658,Cat,aagmnequer
azprqvvqnd,caT,kxxmlgqfxg
pejrrwafqh,ptgmlrslha,watfudbato
853,CAt,qgpvjnepeh
-0.4715,DOG,0.23
0.35,doG,CAt
0.1675,-362,DOg
-0.386,cAT,-0.0965
0.4765,CAt,Cat
-0.3975,Cat,uyseuxalky
-0.065,-222,968
-0.1445,cAT,udbzbnxhec
0.3185,caT,856
wusrtsqmdc,-379,iztwgaquey
CAt,78,0.088
lzituxyeda,DoG,-76
hnssceultf,Cat,zvblaldgyb
yorivcmvbv,DoG,btumltoprg
-391,cAT,534
-0.4195,0.1085,0.2355
-426,svmjttwlqq,epxjbcwfbc
dOG,Cat,isxkvvyxej
dOg,DOG,dOG
xivxszbfns,Dog,0.403
-0.2915,CAT,CaT
CAt,DOg,-535
528,cAt,803
dbqupiqsmo,CAT,-643
738,CaT,hyudfxvdbh
fnmlimemgq,DOG,-0.089
-820,dOg,-0.0065
-136,DoG,bjvvbyzncf
taohhjxutn,cAT,ltronppufg
-0.4045,dog,-407
caT,DOg,553
oqycupfdhf,CAt,550
jvounwoiql,Cat,kfdhuxrpxn
cat,cAT,0.2105
-0.4595,doG,dOg
jexwcwdywz,DOg,dOg
498,0.3405,lwkkbjbibh
911,doG,21
jefylbblfu,DOg,0.2845
sskgevepeu,cAt,Dog
