kunrvuftjq,uiieplnlil,ynklovxavs,PEt
137,0.419,plmdcjjzba,cat
zhmdsjksqb,pdwyfkxofx,40,txmdadehjn
tzufrituqd,vionompyhu,-38,CAt
DoG,dog,CaT,DoG
0.4165,0.21,682,ekertmzkyu
cAt,xmywzmcywn,-950,CAt
-0.4655,CAt,DoG,-0.137
zsdrpssvja,-0.457,rzxqshrvxq,CAT
flnjlfwucb,CaT,0.399,cat
CAT,mdtjmiclgh,0.4205,zevjyqrfah
0.2435,-0.18,566,CaT
-735,-78,611,dOG
-950,0.0415,smejvgsshf,dOg
spzttpltms,-0.2515,851,DOg
0.142,0.3855,0.2225,CAt
210,-0.12,0.2445,CaT
caT,qbtlnabyjb,-898,0.448
zgtqttkvtb,CAT,0.2875,683
290,doG,cat,CaT
815,-0.434,688,cAT
dudjyhenyc,0.2245,0.3315,CAt
0.0355,grdlcregri,DOg,dOG
tdizxswesl,0.329,-432,-156
0.456,qkueqzoivv,dOG,cmyptjdinv
cAt,-854,cAt,dOG
Dog,caT,hqlpwpdrda,cat
awvjqgljyl,cAT,CAt,cAt
489,-0.2215,DOg,dOg
350,DOG,CAT,Dog
0.094,cenisxvyzz,-820,cat
-0.1445,sfbrbevtqu,oplymxoupc,CAt
0.087,664,-0.099,caT
DOg,Dog,ycspsfkqwc,dog
0.3415,-0.211,caT,DOg
0.274,452,315,-280
ozjubzwxap,Cat,-378,CaT
Cat,460,xydiurcpas,ztvyyrwtra
DOG,tjxyqdsool,0.382,dOG
srvtbxislt,-287,-888,cat
cAT,CAt,awljtgjmbx,DoG
-973,lubbikrgdl,-645,caT
qhlbkaqwof,0.296,lpljjuriwg,Cat
0.133,-808,83,497
-666,ppdkxgqrqb,dOG,163
DOg,ernavfbown,eiomgxtimr,cat
-0.462,slzwzhsrnv,ukrcubvabv,cAT
-995,rrrnfokdoj,-163,caT
dOg,sqsflxubzg,DOG,cAT
iqdfsorvbg,cAT,cqvlpngdqt,DOG
pixpyjdaag,xynyxadxdg,-654,Cat
-751,-492,imjqswracp,CAt
0.4105,bqftjblrdm,-616,Dog
-952,-483,0.172,caT
513,-0.0835,-743,doG
-1,321,rfpfmgdwqs,caT
-0.2335,ggtgnoxbks,ajcwlrwuvu,cat
-0.1925,0.4145,lmiaepnznc,CAt
Dog,sukyhgfoxf,-0.0635,Cat
0.066,CaT,fkjdqwhwvr,CAT
-0.164,DoG,dog,caT
287,301,627,dOG
DoG,-403,piqwgzhqau,dOG
564,xqatfemqen,sctxdttcsh,lrpvmkmnle
-0.4735,-0.357,jbfltmbcjt,DOg
0.211,ybqbnbexky,-0.47,CAt
-0.285,ziwyfpfopo,0.4045,-0.304
-0.1085,-0.174,-490,cat
pdpwhnevwk,613,Dog,-924
-617,81,290,doG
-0.105,573,Cat,CaT
caT,bbnhrjdqch,iqukesbtuv,doG
585,0.2175,-0.447,Dog
vmxytxkknr,0.11,sltycvjwmc,CAt
copmsdcvce,dog,mldwpbopbj,cat
zimyfeeeku,0.3155,xuozbhwdif,-864
-846,-772,-0.1445,dOg
crgilwmtpn,cAt,cAt,imzqosbutq
559,DoG,-0.32,dOG
alpuvowcfl,-152,-0.114,cgrlngkwww
