mwawgqzqyw,nsdkvupfrs,yjhcxiqzjn
Cat,594,qcrnjqyujj
-786,fqzzxdkfvv,-688
0.056,-685,-493
lccbeboiqg,-0.239,bwisxkgipn
oflvvuffju,DoG,-0.135
hfepmltvci,490,yixagsrqqu
-37,0.0545,782
0.494,-0.403,-400
cgmdvnzkqd,shulmycnhq,edhguzlikf
0.2185,981,0.0975
-0.052,-87,-875
sssshyvxlr,arsxpcdhfp,-97
tpthipcsat,doG,dog
taxilydgmo,dfpcthlvis,0.2875
-313,CAt,-0.01
cAT,-0.079,416
0.3245,dOg,Cat
-885,CaT,detwiudlmp
0.392,-609,dog
837,-0.3435,-0.4015
cAT,-0.108,-740
kxshftixpf,0.176,dOG
-704,Cat,caT
15,0.0305,DOg
-72,-0.359,-0.0075
430,127,74
oqmtybycwx,-374,Dog
-46,-0.0445,uovdfhpkrw
744,0.0095,Dog
caT,ttubpurmjm,0.2885
0.1915,smphzffzff,-0.4845
dxasetlprv,scvnwsumth,glrqinzfnb
0.345,ilkpvizdzd,111
-0.1915,Cat,0.2925
-131,-661,0.321
0.128,CAt,gncotmyfyx
158,DOg,jvtefbwgjp
0.4415,0.3025,gfzrnfglzt
bdjtxoygom,419,gvoxdprhno
-0.313,uumglpjbeo,vdetxhmcvs
