tjlfqextcz,PeT,ilzzheflhc,tmcuhefdza,vxoiibstas,hgrdpfcguy
qzokdkywfj,dOG,-851,lnjmkfvkiw,717,344
556,tvlowzmfrh,sukibymoat,buyqddxpua,tyoiowdwrr,DOg
0.3835,cAt,-0.0605,73,vokzmrvcxu,wgzeqidlwr
lqbvqkrpnb,rgwxhzrgcx,-0.464,-0.3995,580,ibubdrqhhl
Cat,CAT,ymfndwfolp,CAt,Dog,gqdmmaaevk
211,-0.2835,0.1655,DoG,-186,-448
-0.004,-59,-705,0.002,DOG,0.284
-206,cAt,-523,vtdgsqrsdx,cjmgfknzzi,dOG
tqsuarzsoy,doG,176,0.1445,0.377,rwpraqqxko
dikucazjpc,456,131,cAt,-356,lvqflbbtpv
ptcihhkxbt,dog,ordgrvuchg,0.045,caT,vtmxjttqwh
vrladmbcvb,0.0475,-636,-177,-0.145,-0.3785
770,-0.1555,-91,-494,75,ymkjehkwyw
cAt,-0.0415,-0.256,199,-0.0345,cAT
455,hneraufsgq,bzvgkeynpo,-231,0.0605,0.393
-0.071,-92,-0.1905,usezndzrme,tbsbrnzwmt,0.4665
66,DOG,-914,0.4695,0.2725,-942
0.0705,Dog,caT,0.315,hkcddlcduk,wlcfhgdztc
DoG,CAt,xttxwqesii,CAT,0.0665,-884
DoG,doG,-0.435,dog,0.0125,0.125
DOG,cAT,-275,knklnnylqo,-0.4545,dog
-0.213,CAT,858,0.0345,stzxoxqhdb,gpgjhexzlx
643,CaT,-0.046,-0.0925,-0.119,0.198
0.411,DOG,wgjfxoifen,-579,DoG,-0.272
zkhrsmemds,dOg,rxbzzusnxu,zhmfdykpsh,Cat,0.455
-366,cAT,0.458,-425,0.4325,858
CAT,795,-205,gjfkpmwegw,DoG,urvvwmplka
nqbmjltstq,0.043,evhdtdpvbn,0.2415,Dog,823
nledpwwsur,dOG,CaT,DoG,0.475,-0.323
-0.3445,Cat,-0.194,-0.0775,0.369,-853
0.124,cAt,Dog,-0.338,-0.348,-0.175
-563,DOg,xwbsjqxlru,-582,fbxzwxzmav,DOg
-214,CaT,Dog,wsnopvbqie,-0.4415,bnyjrcmagt
jzhigedfjg,956,548,233,-0.437,-342
