whtofqppjv,fhsrlqsadq,mhymfaxmrk,asqroezezu
220,zqzpwoupln,280,ikcsevgsnk
doG,-0.2565,46,0.4555
cflthwppsk,dgpqjgliei,0.207,caT
716,lxrkrtydva,cfyeznpfkd,0.417
471,mhughesxvi,-863,-894
ctqhnqlutp,0.0045,-0.286,kcbjvumbvv
-836,zsqispbfju,dOG,ldvrdbembl
sqyfjwyyca,yvmcmzbmwb,-0.163,cat
-0.354,563,-0.066,dOG
dOG,ekyqrzwfbe,-375,982
883,zvlglxxdgf,dOG,-394
shgdeekqna,wxetuhcxii,dog,DoG
cAt,-360,-456,Cat
acsjrdvjbs,-337,822,vsepzdxhyx
0.325,jfmnjwjvwz,-0.213,0.148
giehkglqwq,-723,-0.4545,Cat
-219,doG,921,egvpydzqma
216,dog,cgidevrzzk,kvtxehqpft
0.1095,831,cirdbztadf,-0.022
dOg,zbtoirhcwl,238,919
Cat,rvxauthjup,diubfcnict,-146
854,666,219,doG
tukqlaeugi,0.477,cczxrkrfst,-0.381
554,acdwisgqpr,-331,0.352
-772,CAT,dog,appxsezyor
rtkejotzsg,-458,-0.368,dcaqigzdgq
CaT,CAT,CAt,pujvyatxpw
mkirlyksno,391,0.334,232
74,0.185,0.317,0.2485
CaT,0.219,ihtakfemlt,723
tvofrnabec,-928,dog,-359
-0.0325,-0.391,dog,-0.478
esgirotkut,DOg,CaT,262
dog,ltmwvnhbvr,xftnolbgjk,zalghxjxqo
-0.334,xowjcxlveg,xlsklkmbpu,mwkhsjhvbm
DOG,rdfrgrxkbd,-0.4345,-177
-0.3445,cAt,-654,Cat
-0.189,-432,614,rildxalmoo
-910,-259,-0.05,fpdztfjeyb
0.235,caT,-0.078,-630
0.073,zhtcxjouuk,cAt,dOG
-0.093,ttayxbyulz,728,DOG
-0.1685,nblprvkjdi,0.349,lcspmokctz
0.387,0.4275,ucmeqsmspj,0.4365
DOG,-0.4525,85,-0.067
roiodlijuz,-0.2175,dOG,isyoxujvgc
CAT,607,-149,tpttcfmori
CAt,0.3895,-148,CAT
