aklzdtqrnt,rhctqitiik,mqqdbjjvcu
0.4055,47,dOG
rfiuigztia,dOg,mtoeprllae
nujojetzpu,Cat,dOG
-0.448,-0.3625,-0.4085
366,861,fbrcjnvgeg
480,uwsblfcpti,0.0115
-728,-0.212,171
0.055,rzhqoscvzf,581
-753,-0.085,575
-0.4205,DoG,0.0315
-0.1455,403,230
0.203,cat,bfxmbwmico
-0.4165,366,-197
plyltsexrn,-0.0225,awznjmicgb
xlwhlhcxes,wnoaydspuw,0.21
-0.1015,isrrriapwf,DoG
npmawdhcfs,-0.0895,0.1205
-34,DOG,gmpbmrpxtv
-0.3025,liwawpljjw,-0.019
587,0.3245,qiirujedaj
-921,-332,-782
dog,ggehtpzcxc,DoG
0.006,920,vkchaatoef
682,160,-0.1995
sircieobuv,cAT,dog
202,546,-95
-0.186,-635,pdtvzntvku
-0.04,fhiugjltsp,-0.4355
zusfhyccsh,Cat,0.3615
0.165,-643,cat
-958,yigonddbkz,pxokrddsfp
yyjmsftkrj,-821,117
lofqtjxbpu,-0.3195,-54
-276,DOG,oisycaycsf
