kvrnpzcqdw,PET,hrxfdiwjgc,uajnkikmll
-0.208,dOg,0.464,0.3315
caT,jzyuiatszg,15,911
-882,CaT,837,-0.492
-0.4765,dOG,ixficaxjwc,0.0185
mwhaczojso,cAT,0.3645,609
muvoguwmyo,62,-0.4045,832
cat,doG,-607,bltrpopjuu
73,0.1035,-538,-713
0.2675,DOG,Dog,-0.205
woaojfpxrw,0.3095,-847,ywvqhscqct
125,-272,-0.0435,0.453
cnmmnrhvav,CAt,0.0175,CaT
-0.3755,DoG,irzojdqniw,0.414
yughczeslc,dOg,0.4675,-0.414
skhsduunib,doG,778,-0.226
-982,Dog,cifzodnenk,777
ykoqrktrso,dOG,0.432,Dog
-0.3925,-358,DOg,326
170,dOG,cqoxrmjjqy,594
-0.4305,DOg,xxoxcjkzgr,bppobivzbi
-7,-0.0955,mjagmgjost,0.2825
ludibyjjys,-516,ndyprcqlvb,-0.1865
DoG,doG,dOG,xipohsbjyg
CAT,wueswxzzsp,-104,Cat
CaT,dOG,-412,-0.481
-778,cat,dOg,671
axbgdnvvbv,scxgyourbk,-219,-0.241
-0.417,DOG,-0.2205,-0.427
216,DOG,pcymkmlsim,dOG
0.4805,DoG,0.2055,-160
146,cat,ktndqqyotp,yumdqlmzxs
0.3655,DOG,0.047,-0.4295
154,CAT,0.054,-572
dfajjpgmpi,816,-0.3325,xibzwwcvkl
-339,doG,-0.469,vbywjuegvy
DOg,Cat,qmrerosvwt,szmhkldvgp
nydssguibz,CAT,smvqecmtwk,249
307,281,522,dOG
DoG,DoG,fghmksdrfy,ohcavzifge
kygtlheqrw,-222,838,faaqarrrrj
twctmnaspr,kdnjzmfjze,bgvpqugzsn,-0.19
-0.4675,Dog,-130,269
-634,CaT,lqesohdidp,111
-80,CAT,iqaucrosjf,-0.389
-0.2745,0.4675,631,dikvymmadg
ydnpslihzt,cat,dmgzshplmc,doG
-159,Dog,0.4355,-363
Dog,DoG,0.1755,CaT
uqoxmkchbo,dOg,-249,-0.3615
58,926,isdpawjcal,-538
-197,CAT,-687,jgopjmmjln
lwstrjeloq,cAt,imhuthxlbr,nomemzwfge
-0.006,caT,aauprkzjku,0.493
0.092,CaT,-808,jumynbetop
806,caT,onjwhlapyi,-201
-457,Dog,-280,4
doG,caT,-98,159
917,cAT,gkryliisjo,dwoscwimyd
0.219,-0.116,575,igrpiadecb
-0.08,0.0395,-0.31,0.455
nhjqbtsrkp,DOG,fxdcesslgs,-463
-0.269,cAt,-0.398,pnkpipzsqh
0.0885,dog,lahvinckqu,Cat
-51,Cat,wxjuwvqwvd,dOg
peaogtapvq,DOG,767,qettqiteik
aoxyyagdmh,doG,cat,-609
-0.3795,778,0.099,ydgdqdzxju
tfjrqwogtp,DOg,891,633
-974,166,0.328,ailekqyhdq
CAt,DoG,ichalufuux,zrpueonwgt
-0.4185,doG,cat,-0.475
548,caT,trfqfpyhuf,DoG
-281,Dog,DoG,-0.1555
-0.242,caT,rveerlfuoh,0.185
-800,-0.279,mwxqvhxbpa,cat
