jhejcednoj,bfojbolyqi,bpnhxijmbh,xpxswluwgz,gndacfqmrn
583,810,0.359,caT,390
0.08,utkbxbnhto,gxdjardmof,-666,-0.339
633,0.149,0.4225,DoG,-0.1035
eocivxhdkv,0.192,-93,0.4925,481
510,CAt,swhsakcqzz,0.3845,cAt
htqennxjja,atssrpcodh,185,0.337,Cat
0.034,CAt,zyrqpdihfr,inxksvyjcc,179
0.212,0.366,0.251,258,vdsxnilmmb
739,-524,zgrhgqzhob,-0.4765,-929
-836,-759,-312,cmyhfxqsac,ojnwgsumel
xaitnkovbk,dOG,-0.3045,498,CaT
-687,swsdgwzazi,0.493,199,288
-0.4665,nfseoikmer,wdofvaghcs,pmgizuwpqs,-0.204
0.0275,-0.5,cAt,rehbuuilsa,0.162
729,siubwzktrd,-0.0725,-18,-859
DOG,nuzdwukgub,Dog,CAt,0.49
