kwqogzyerp,lwgorpbqlt,oiqjibfean,zutmzxymbo
0.149,0.3935,-559,wluybbfeka
DOG,0.086,Cat,-248
895,xdjluxhokj,555,-703
bxdevtgurg,-0.4985,0.04,-0.146
Dog,CAt,921,mvklbkjmfc
cAT,azsizvtwfr,lzkvhsssra,DOG
-130,iuouasvwmn,0.4265,DOG
seuktxxfix,cAt,357,0.395
65,153,-0.2935,pugudcxrnz
0.097,295,cAt,utubyegqxq
-394,-222,-750,-4
797,fnvfoswjyd,-0.052,frdeynufrx
262,-0.192,cydbbhszbj,DOg
-0.332,925,-453,-0.3785
-0.1975,CAt,-750,674
kdwniljucg,-332,vegsccucyg,-0.021
glizmjwkfw,caT,dOg,doG
523,0.341,-0.451,bccsqisaag
0.176,-478,-0.116,752
0.1275,DOG,vsvrmtwhvp,doG
lypzjcagru,xzfgmppbuw,wrusjjwgmp,-0.146
0.4755,nytedujxth,72,-223
-647,-0.146,wjvnbikxyf,-0.462
-0.0845,0.439,0.2085,0.0825
cAT,cat,ffvamxonnx,0.4795
Dog,cat,355,CaT
-512,cAt,nkfjwnnoae,27
viagnyakku,-142,CAT,0.0975
0.0835,cat,476,0.364
684,hznvncsrst,0.269,rqdbyjjdcb
-401,srsewlkebg,dmpneenuyn,-368
0.0325,hugfcsusbo,500,Cat
-0.4325,46,-360,556
DOg,dog,-524,-284
-369,-0.0815,-0.0765,Dog
cAT,-0.3205,0.24,cat
-559,pbailstnig,-0.4855,-0.3915
vohylmavkf,0.3945,298,aulytpcawv
vynfsatyhj,DOG,-60,wnthxasaji
DoG,0.3795,-0.198,iqnlrqahce
cat,togxfqqfva,cAt,819
961,effznqiois,-921,0.3555
doG,-0.287,-983,DoG
-577,plltqwbbov,0.013,-0.056
nmzuhdgxue,cdmvopurve,0.3645,0.234
0.1825,0.182,iubxjejtqs,outyetzhbj
CAT,0.0835,llvlzxqwee,249
53,nswfffahmg,tpvuclpmby,0.117
ksqutkqchs,lxhzntrqxy,-714,-0.2575
fzbtxvcrav,0.227,cat,rqwytbpatg
xutupgstvo,kusszberoq,cAt,-0.269
0.2725,asjssoyeok,nzmzuxeeqz,-164
603,-580,0.25,670
-345,dOG,adpvycgqeb,alxfhuqdjf
dxlbcdeqmq,-0.36,-297,-130
DoG,-221,vxpicpfrqo,538
0.2175,cat,-685,ywhrfsykvv
-0.3495,DOG,epxczmnkse,jqhskrigco
0.3535,dog,wttccvcorn,204
-0.0785,628,cAt,-243
0.344,pgouvsacrk,lyzxtjtnxn,573
0.1475,Cat,-710,CAT
565,dog,CAt,owkdsbpwrm
wbxmcmnltu,ckzfxfnwns,udsjdxlygx,541
wrbdumemap,cbrxkzasrp,-0.2305,-54
151,nefujrfgeh,0.366,dOG
dog,-0.376,gsopqxcxmg,dOg
bfusqambck,wwphuuotmx,-0.3835,-0.088
liyakyopxv,189,0.264,552
-735,isbvqshmnn,695,0.416
mlesagatsc,umpuitrnpi,DOg,doG
0.204,-0.1775,puovxolhzr,CAt
tqolryseiv,DoG,zzidqurtnq,-0.239
yijhvvifkl,vnavppizgn,0.315,ccnxktjffv
0.488,-868,jjdbvvdauw,-0.0425
Dog,pmezkkgapl,-879,-0.443
0.403,-0.374,dog,vpdqhmbghk
-927,-0.394,-300,0.281
64,0.213,CaT,-606
-689,473,-227,bbsjfmjuea
-109,-541,cat,-876
-0.466,ustjnefmbt,dxfwooycbb,cAT
0.3615,-588,cat,0.3915
-0.446,809,-0.0145,-988
-48,-94,-0.3815,-314
kpojjbiect,-987,fbjhggbuqt,lhgiraqsxj
0.2045,-599,77,850
-497,0.427,382,gzxaekvbus
cAt,ejzphlzwag,-0.465,-0.34
-604,-702,-0.4475,jveitnsgjy
9,610,262,spyhoqnyxv
531,0.4055,-571,cvepepsupl
vxljngjpou,-0.2175,qjrxozrkwq,0.308
uofxwcnwrg,-413,0.207,635
-544,-931,kjvsqdonpp,fmlnkksxto
hwhirwdvge,-0.073,332,-821
-0.277,tkdgbxsnkb,CaT,vxtjjtsiad
pijxfawcjt,-526,0.2395,-801
