emnasqnzrp,jymuqtynlh,qcwneycmwz,jdcibczhkc,edndxnhvwy,lrhwooedjg
ppwhwioaxy,cat,-995,pgeqyifmga,podfkaalyf,Cat
204,-0.156,-17,kknzhmakvu,0.2435,doG
801,174,0.1145,DOg,488,amfiayfkht
dekbczyskf,DOG,DOg,DoG,ipimookizy,583
0.3155,ebecceilic,583,Dog,DOg,zebweldghj
527,0.036,dtpqvujyej,wlxyhofglw,doG,vceezgaolr
0.0295,-0.3205,oxmardsnti,785,0.1705,wnezkemwsh
0.287,CAt,0.221,qpumcgjblj,lbyfglikry,cat
0.124,85,Dog,-218,-0.138,cAT
cAt,672,0.377,cAT,dOg,dOG
-0.27,fjfnuzcjzw,-631,711,-0.382,srxlqnkjee
297,DOG,386,jadlijzceo,CaT,gtkkccdwaa
aqjgwduqgk,qdymewqcvl,zxjlhaubwh,-746,qxkkxtiqfz,-0.2655
677,0.339,-0.409,163,axzljdutpk,doG
bsnlikkuam,cat,0.3835,336,vsjhuqwgbl,DOg
zjgfzgdhic,0.298,57,iqpuwvmjlj,twwwschxnc,ltquaqnmoo
Dog,apahfxlbwd,0.007,dog,-0.0635,831
qogzvepkqc,121,CAt,Cat,664,xnaymrlxzt
xtujmcadzr,rixfphvdvy,-0.163,dOg,-0.184,-142
mjdidhyqqm,uzrviicspf,-0.228,87,DOG,bemiqmpbcw
0.1155,tfxgpbfjxr,-0.188,0.432,vmwzuowaxy,0.2605
cat,-0.4255,DoG,htwgrvdqqz,Dog,-0.014
871,lxryfzkbnb,0.008,vccfszvbhu,-0.041,-0.0785
yltudthapu,0.4385,priiuhjdxz,-264,bqxbqrydvu,tsbroxntyv
CAt,-174,alaezlbelm,pcilbbjkeg,nfezokkxlg,653
dog,0.4705,467,-0.39,nzgsouolvh,emmblryyva
DoG,325,gwpirbwjcr,CAt,-0.2865,643
imtfzcmbca,0.268,-0.3535,0.034,oqjxhqtnic,0.314
-23,nbfpxyxzrc,nsqgvqtexz,cAt,hevakdhjoq,dquzqijivt
-0.252,bauxphcyao,687,umisoflccq,doG,499
-0.0335,iuzrnnokea,-0.4435,0.4165,cxcrymcqaw,-0.17
-994,byrqerekqy,831,-87,vgwfbgbvto,-754
