izrplfueyi,askhswiggv,zecfacruns,kseqlwwkiw,wseaedfrzg,mdhsqhafnh
262,DOg,0.3635,0.399,cdinlrzioa,-0.3555
279,-0.0095,-905,qgnjaiilyv,373,-0.49
yshblowgff,zmugbfpdcj,626,jdtryjamxj,-0.4125,0.4575
cAt,-0.15,882,wnljhdxprf,646,dog
79,0.06,-683,-694,dOG,cAt
ehaewcfueh,620,0.103,obvhdpjvof,-0.056,ckujalavgp
gzsljohnpr,DOG,dOg,fcbnxzsipi,-309,hbdfhzpugl
DoG,tueydageua,-0.485,-436,Cat,-0.411
DOG,-0.0525,cAT,363,gypxwsavro,dOg
-541,0.316,abdltlvzbf,0.3735,utfpbhqwwc,esbzjrapae
cat,-714,626,935,407,jyjfxxeszj
dOg,riuptpybyl,630,-976,794,-300
jknwmonndz,-0.188,-101,rkkzpnznzh,kubgfqsyed,-0.0385
0.3775,900,-917,-663,0.223,-65
ajezezcmxv,CAt,CAt,0.3475,sayfvjeium,pqfiwxbqfj
-240,0.488,0.0855,0.2765,bbfvdlpxyq,plpzblraqy
hsfzafykyo,pfmkiskmen,-0.06,-0.0555,143,0.1925
0.466,-480,Dog,CAt,891,uquhasyban
CAT,0.3545,-207,-199,dOg,Cat
zqsramevau,cAT,311,foufowxccy,248,-0.349
612,efyxvjrruf,19,ueedflppub,CaT,91
qbanbfzwvj,-354,0,-0.249,-136,dOg
DOg,-15,-0.2015,DoG,wwpvnapsyt,gxxzruzjuf
ccrgpajlfu,gkwttuadqp,0.374,-0.2495,0.1375,eulbtapdiv
cifdvxruqf,701,0.345,-231,0.1875,dOG
0.313,1000,wtxneglveg,0.354,0.0485,cAT
-0.1445,588,-600,emohcwcrbt,icyytpqqel,0.445
-957,dncqjcvzqy,dog,0.4875,0.32,dOg
cat,0.026,-644,0.2275,0.004,CAt
0.3835,0.4885,0.115,-0.0385,805,-879
dOg,-0.108,owrbpcumgi,-907,314,zkgfbzoyoc
bwfepzivwm,0.391,904,-0.097,7,-667
hwjmbbruvw,fcgtysfdlo,doG,-0.17,CaT,-0.1825
dOG,-0.0605,-0.436,-9,64,doG
-101,sxsxxrsomk,-265,-0.143,dOg,0.188
-593,genvotcacw,242,-0.409,0.077,157
0.1105,418,tcmrhhhfhs,uurkkcvpml,cat,-0.3295
0.3005,caT,192,-278,0.262,-255
knlltnrneg,352,-0.2935,-847,-0.069,0.2535
cAt,qfvektufip,-0.4525,CAT,cat,bvjtnbxxer
0.276,355,-766,-485,DOg,osigyvznyc
dbsprdbtzc,-0.3605,-0.4405,DOG,exvqjyityn,wlrslwzxnj
-807,943,-667,caT,jmrfmfhahi,hmfqggdcwg
cAT,139,-647,596,-972,cAt
yjoeovqhcm,weuxxuetll,ookjabvwqm,-0.359,DoG,58
doG,-0.342,766,pdffhdydhw,-0.0915,Cat
0.497,0.3745,-0.3285,cAT,uhjghwgxou,-0.259
kngijfihnq,974,iemkxkqpvu,doG,sllclakgeh,acljyqmanr
0.085,-0.4595,CaT,dog,0.1215,177
reenraqexe,149,0.213,219,0.272,-261
378,-748,-448,-0.025,yeersesdgj,-0.288
-0.1555,dfaaqkmhfo,272,0.113,yxalamweca,dOG
617,zcqbsjosec,yqaalefshr,-0.469,DoG,uswpgpfvsv
mnlkgznszx,430,CAT,0.0525,0.1815,-0.2905
109,dOG,hysfmgnmns,-126,CaT,hgcycaobih
0.154,enropjcego,doG,eivnivyyav,-0.4805,-209
qmtcwpqdsw,bszkudgyic,jxdilniqcx,zxbglxtqio,wiyqlenkzt,oqrgtvpzjg
898,-504,DOg,tsdlkmwfiw,jtmvbsenkd,sauaedcads
dOG,znnjnkgtxu,ulzrtahwdd,-0.123,cAt,504
Cat,-0.189,DOg,-840,-0.25,341
DOg,-896,0.052,jvaiqptluz,0.008,222
dOG,-48,vkzhbfelws,dOg,-0.433,-96
927,795,dog,-0.245,-0.315,caT
278,-0.338,-285,yjttmutxta,pekltjmusv,0.0895
dOG,0.4805,844,810,0.046,0.0095
0.451,-523,DOg,0.2365,0.351,wgfzfjssvw
DoG,-294,336,ssorqwbnkr,hxvmmpyqkf,0.342
-69,-0.069,qedyovqwwe,caT,-384,0.029
caT,eoyqntgfkx,-151,joxtxxoomi,0.054,fdoedngtii
ydujssngwx,-219,pprbhphnat,0.0005,-206,-79
Dog,-610,0.1525,-828,awxnyrjzxx,-273
