dowlqcngsf,qyjomsgjnp,gbydarrxvc,fevcjxejep,wajaqbquwp
-0.196,20,rffterzfcz,915,-191
zljbwwmgpy,865,-0.119,-0.1375,181
-446,-0.1925,0.1205,aziqwxidio,kmrpxbjpit
-0.445,wrojtidrvw,yhsejfysvt,kwqnsloxdw,-0.071
-0.382,0.1325,-10,270,328
epfefvbmci,873,DOg,0.4275,-125
903,789,tjwohtuhcy,-769,-479
0.303,ygfuehxtyb,ebmmsanqle,-0.1255,tfvwvajeie
elqksdzisk,dog,-749,nmtwrezjnm,cat
-960,0.212,tshdlmwmyg,-0.4355,voyekyiloq
CaT,pxcyrgsxjg,159,cAt,-0.111
jgkilaluik,gfwsdqgzxv,doG,iegxdxindl,Cat
cbpexvmqrw,yeaipkrdec,-0.2825,DOG,-0.302
-493,ynxjsrvmdr,0.0805,0.3115,-0.0555
223,-169,623,658,-426
Dog,0.107,-0.344,vyyhpkzxvn,-146
axyscrkhuo,0.1405,0.19,221,pnrpuimfbw
-989,cAt,inqzugwdpt,ccxfqpzimd,DOg
DoG,491,weuzvmsysb,cAT,996
gtfdjfujiz,Dog,ublzafwaad,yxpucugdkz,0.112
dOg,-77,CaT,-0.443,0.1725
0.1055,0.2915,396,elswmnevsv,DoG
CAT,CAt,0.2175,dOg,279
