pyhmywslcj,jphvrdpciq,ytjiwepnlm
0.1415,DOG,-786
-831,0.0995,-885
cAT,-0.188,dOG
-0.324,59,823
0.0875,-171,iahhsmnaid
Dog,0.3105,-720
248,-750,0.147
0.3155,gsmzbssvgo,efhupbbxku
0.1295,DOg,0.0055
tgezrhvtxm,0.231,dqxfrnwokr
436,182,679
-0.034,-416,Cat
-0.203,dOg,0.085
358,-0.1695,547
8,326,qoymcfxxtf
0.4215,vqgwzrcgde,631
cvjkbhgjdy,ewbcyjkfpx,-719
CAT,DOg,-816
-0.407,303,hnsxuheqgc
CAt,agscdhgmkd,gbqqlnzvkj
-324,-829,mzlbcwoebc
cat,swonyrxrnr,eupaojblcp
-639,-799,Dog
-287,-795,0.323
-0.2335,-0.4645,144
sfygnzoeza,89,188
dOg,tjreytfiht,bjjscohhmt
CAt,-0.0095,-0.2065
igqtsxatjg,wbppqiqxip,695
0.323,CaT,dog
0.0265,-0.179,107
-814,440,681
jcjxswsynm,-0.1335,0.4295
DOG,-442,0.203
Cat,-0.0785,dOG
yyzsmngwsv,171,0.179
-973,caT,0.166
-522,527,avbudimvfj
-0.0305,-0.2985,-0.313
brhcfdvfri,113,-35
cAt,cqyypuopjl,0.1035
caT,dOg,700
-0.193,wzighteygg,saptiwlrxd
857,-303,391
0.2735,DOG,hntobbimrs
-880,-624,227
-0.4,smlahnktwv,977
Dog,0.1765,-0.4805
0.111,CAT,hgnzfquebq
0.2545,-0.3425,-583
-849,-0.4315,DOG
0.0705,0.206,-0.3625
429,0.3165,-424
411,-0.0725,0.1625
225,fgupsmnoil,pzqrpzslsj
lmebdizoxf,-0.388,-51
-0.26,cat,0.4255
-0.178,vatrwikddo,dOG
-211,507,-0.043
