beefnyoztr,hbvcskxxle,hragwozkit,nebrdkkwgf
93,deevpvlase,xuvmvfahyb,DoG
-0.0965,-0.198,858,cdcyzqkmay
217,dOg,0.1675,cAT
396,-248,luyhqqojfq,0.2645
65,rhfudauxio,-0.468,201
aqvmbxiube,882,-0.3275,-0.3605
249,wxjabwngmy,CaT,CAt
eosgvzszxi,ziqthtfinx,prsjnrssqf,-0.106
-0.0695,-0.492,-0.2225,793
-0.3365,0.1935,cat,-492
dog,-0.095,343,-744
441,-0.25,CAT,-0.1035
551,0.247,-0.4795,DoG
-0.155,466,uepzysgpxs,iokibblnya
CAT,0.3635,DOg,crgindahab
jdkzpptmwr,-597,0.046,-0.391
CAT,oesgjqimdv,cAt,0.262
-0.2275,-0.0965,lkdotdbffl,-0.2975
dOg,-0.2325,cfflfjiags,Cat
-802,0.25,epmiotskqy,964
-76,DOg,-339,DoG
jnjxzxvwnl,ntgklyetfu,-0.3035,dOg
-0.2135,-971,ilaiwqvvem,-0.414
toxsijwcsg,Cat,ovkwkinkny,nlwtqiokoi
249,-344,63,srrhmiwtdm
yzvhnwhgfa,-0.204,0.2255,224
185,-0.1495,-279,cAt
-262,zqfdnferuv,CaT,Cat
eaiabdrqcg,0.1585,CAt,-0.03
ejqenkswxx,0.282,qyaguecarr,-0.0085
-430,-172,CAT,-49
-99,0.3565,-0.211,dOG
vlldednwqa,0.309,0.3675,Cat
yjyijvdcdj,0.1485,-622,-194
xgjgcthnxd,0.194,zymybwkunu,rprzlnyaqu
587,-0.226,-712,vujzykdgwd
0.3925,Cat,-890,Dog
-0.1725,cat,984,mfxprxeulo
-345,DoG,0.111,vhpxanjxgo
0.173,-0.2805,ftmropplkz,oelvvawcqs
896,cat,146,283
DoG,cAt,izswlazkji,xyrdlgizlp
Dog,880,qtxqagjiny,ofnjatmisi
0,-182,mrxjzmkzsc,-213
