gvvutlbikw,wypxgwnpqo,zqgrfhlwvc,pllqsjsdlv,udhyttkacr,lmhcjzadjk,jacbohbsmi
-0.463,794,CaT,320,whofkxqjtb,-0.2865,hqwodgwudg
-239,qofepysmmu,kcphvzcydg,-418,439,zjqhpncxqd,-168
txfbnpjolc,0.252,0.2065,fojlkilmfp,cAt,ljoetnjgzr,0.1215
311,fmagvjhwos,DOg,0.2755,jisrfgjntb,chrichssrt,zumfjrmoes
-304,caT,doG,curvtqpnfu,DOG,abjksfwxwg,-609
tgupctpdxh,vugdnffzeq,0.4615,-794,wlbgsqgjuq,302,enotjputki
0.2745,0.059,ybgilkcjxd,hpebipyuok,-5,zdvrbdcukl,0.1545
-0.084,epqocbjxzq,-425,603,zrljjrufek,324,dOG
466,-868,hcpdihgcmo,-261,0.249,-72,cbwptjlwgw
xtinbaimel,-0.299,-0.4345,cAt,-0.4535,-0.2035,0.158
604,uihnydabbn,-0.48,309,240,lekvkwesdo,nxjileamui
zvqsczobyr,rlalryqata,0.456,-134,-168,-0.15,-563
-0.154,-687,521,0.261,-0.0695,930,0.2025
-0.055,dOg,0.4605,pgdfokejbi,chudwfdevn,-179,doG
-505,CAT,-580,doG,-915,-0.1935,stslxpxdov
wtgyvijwmi,-589,celowkqmzg,-368,0.15,ejwjffyvhv,0.267
yvnviuleql,167,-922,-942,-0.167,-504,cat
0.083,418,ozfpuvtles,dOg,cat,-0.4115,wjsgvwuhpo
0.207,DoG,dOG,zqsimptpsd,-0.245,osoibzarnp,-0.3995
-487,hvhnqxigxb,qlbslkyeio,hcltlixigs,DOg,-0.493,-0.1595
0.396,-0.246,yjjefvoptj,0.2035,651,-0.257,bohdoaikqm
bhskutmkge,vllysdayud,-882,0.239,805,pfasfopetf,-687
doG,-0.4045,0.219,-101,npzoqlexcc,mftrcmipab,cAT
srwvbrzdaz,0.12,-0.236,709,vfxlbbvjdr,-937,uncdwyswbg
dog,vpbrwsvsjm,-547,-0.4205,dog,dog,exnkpuugmd
756,cAT,-367,0.3915,-136,kjbmaespob,-501
xqplgbeeyj,-970,-887,451,-0.374,nrrukezjcn,247
vrovcfvlrr,CAT,-0.1535,-584,0.1755,DOg,0.335
-0.2945,483,-0.405,0.1785,Dog,tembmkrnsv,0.385
ancdnlddcc,708,golnnslkyl,-0.085,zjprcegota,-224,eahchsesyj
0.3625,0.36,mxwwxhqctr,tppukqccjh,0.2415,407,cAT
DoG,325,ogjduxhjhy,-0.373,-0.124,-806,0.203
0.151,mplayadoyi,0.437,Cat,-520,gzbfbnlumk,-0.37
kgwgmmxyil,hsbplxjtwd,DOG,-0.4545,lujplsdhuz,437,949
0.0115,cAt,0.338,uonywzgfua,0.204,-988,-0.145
390,0.2485,dsqrhafmbc,CaT,-676,DOG,ucsifnwrlt
sgzggpaaip,sfkekwljme,cptrqdpnfs,-0.4815,765,-653,wiiyehkgzu
0.449,wyhfyvrdfm,aqhzcoykie,-750,oksvahatwq,0.3185,-718
DoG,ozlqinowok,-531,DoG,wtekyubqjh,ulnaykbefs,DOg
-104,970,-814,CAt,0.0905,-0.166,caT
0.2695,0.285,0.0465,Dog,aygzuahmaa,CAT,doG
872,CaT,0.4745,DOg,105,-0.0015,kzhopthpyw
dOg,663,0.2635,caT,zhcunnjsds,81,580
avodulcmlx,cAt,cat,-0.2485,dOg,750,-0.29
392,uuhigajpjm,CAt,307,CaT,483,0.233
ceeqaatplt,DOG,pfzslcryoi,cat,-0.043,0.456,-0.3875
jcwmuwpoyb,bsrbgazlod,ubkpptieaz,vyukagqwcu,653,412,CAT
333,-75,-257,0.155,swjctvokws,686,-341
-0.1865,CaT,dfydqmilal,820,nrnxdpecef,-131,0.4505
-0.055,qotomsuehr,chiyxmdnuf,-0.175,-813,irsjqygior,715
771,doG,kectiusmoo,0.086,0.3495,-429,-0.1375
