vzhvwdxpzh,hnlrmugrzq,iyjctxnnht,nzrpalwmla,meesgmauca
lbzwcvumwe,nnwkpzstpe,88,lcwuvqlryo,pagaxaofoq
uovqmeusal,hazpshgirk,Cat,jihelrujso,176
-0.0775,-633,0.1015,873,-0.415
0.4685,0.273,151,kdxwzodkoz,0.4085
0.4895,-0.4935,97,-0.4255,izdymqbmiw
221,-0.366,-0.355,0.0385,xbfpykhbza
ubesdkyhjp,CaT,-0.301,xbhfvujuul,851
0.16,981,zfltbxrqrf,Cat,-0.0405
bjivfwnzjt,oqlojwgcyy,Dog,-0.063,dog
-577,-0.142,17,wehrutpuvl,gqalwxvucc
yuvaepibqz,hwjqwrwoxe,dOG,153,zkzlbwblhs
0.045,0.491,dOG,uvvfnajbah,izxggrojyj
-0.1175,nztqwfwpms,871,CAt,doG
-625,-0.371,566,caT,CaT
0.192,0.094,650,-0.3125,xwdwyacdeh
976,cAT,CAT,0.051,-823
nyxuvdrcft,-31,bpnwjfxypz,cAT,usthtziltp
392,-0.001,-0.1505,lnckyqpyny,irvqienvgw
qyvvwwchvm,Dog,iazpqbulbn,Cat,dog
0.0015,-371,lelqvzjras,nrqezqwota,-45
frvxkxswis,0.0685,nwjkffaosx,-0.481,zamocudysu
-59,113,491,477,-0.0785
fffmdkdshk,ldwwjbnhub,goamcmrhxv,-0.35,cat
319,-0.26,-0.1335,226,cnfjitcurl
0.475,-0.428,-0.093,ftxnlteruq,szccldvvwf
-0.304,0.022,weswkolmih,-667,215
praapcvstt,0.3605,jwcgtenqbm,848,0.135
-439,0.4965,-0.1645,-143,0.3585
-482,0.0665,dOg,-2,hwxlfeujyo
-486,0.093,-0.211,ljnzybedvr,aszipqwwpt
-0.0845,965,dOg,yfjnreohgu,0.2765
-0.033,hoywhazwdh,-858,wkddbafwqt,-883
0.442,0.368,0.0995,ssvafoswof,-956
853,-0.1145,-436,DOg,0.319
yhnmnrhafh,CaT,0.275,-0.007,75
dOg,336,0.1165,ucxtskqzcw,Cat
0.0865,-0.17,wbqkshyvgz,agpyiptkfe,-895
-0.099,-274,-0.4015,agsuutmppa,-0.1205
-0.2325,0.1575,-715,cplkxjzijf,-0.237
DOG,493,kjumvrrmqw,0.008,jvtbjnolyy
-239,0.17,823,ypijhwpriq,0.356
-0.2495,0.176,dOG,lbtgobjjtl,-251
-582,DOg,-12,0.29,995
0.0335,ahtxhocflu,-856,ijroodwugu,-0.0485
0.3445,bixxlxvbec,-725,Cat,bmzfddqjey
hvklzxmzpe,doG,rasrdpvhfn,0.4715,511
-0.4365,0.1635,0.2425,pbalroauhk,178
-0.2405,cAt,hwvphegxpt,-154,xgraskorqh
dnlstxzaiv,-702,0.3455,bueqzvucvf,zbdhdrmizw
-0.363,rmigjiomwg,DoG,0.373,caT
499,-0.1175,DoG,-0.3495,-709
Dog,uiyzmoqqtx,-0.154,CAt,831
-0.4865,-888,-0.471,Dog,CAT
-82,0.015,xmihqyuyfj,robjcgdkcx,-717
-0.384,0.227,caT,DOG,-922
848,-255,0.0925,100,-0.423
