zupuvrqqwg,pEt,bxzbsopdyi
-860,Cat,ifwsvyvzln
pcxdkwgktl,Cat,-0.236
0.4285,cat,0.195
cAT,-0.2015,0.2445
pzdrfmklte,DoG,ueenbnkvkf
DoG,0.1785,903
ogsfclhlix,dOG,45
CaT,DoG,630
lonlcdrgkg,cAT,0.459
306,0.342,ekstuiafoj
615,bozgoevowe,0.4315
-641,Cat,-626
90,CAt,0.0785
CAT,CAt,812
-0.3,nskxwsbuch,969
434,-858,DOG
lwhavxybeu,dOG,0.29
cAt,dOg,DOg
0.017,cAt,-330
vesjhqwebg,CaT,mcfquwxhyf
siqarmfemv,DOg,-971
573,dOg,Dog
-973,cat,szriddljpv
DOg,CaT,986
-0.223,cAT,tvijumuwku
-324,doG,czslxfxyov
0.0695,DOg,0.0395
exbarwqigz,dog,0.3595
-0.39,cAT,cxovafhqrq
-0.3845,dog,-0.4805
0.3535,-325,mrfaqbjwod
0.0725,CAT,-310
0.4995,Dog,-0.0445
0.314,dOg,-0.008
cat,0.478,gmgqrregtv
DOG,Cat,cesatqhllv
qmdfemqdib,CAT,0.4995
cyfuiexqzp,dOg,mnvhpoxguh
mqfkvdxkog,DOG,-602
-33,874,wvnkkmmzhi
Dog,CAT,0.4535
-849,CAt,doG
cxdfilxrtc,Cat,0.113
0.105,CAt,rdfpdlofnx
105,dog,Dog
-0.1005,DOG,iebtbzsqnn
786,CAT,0.1995
xjombbfbtt,doG,-492
xtvxthrvij,dOg,Dog
cAT,CAT,-0.488
-0.141,-0.2575,dOG
6,DOG,-604
620,cat,159
601,dOg,385
kzwtofrlcq,DOg,160
ecvztgcmfe,wjbkkysrgp,182
cjeerzeqns,CaT,37
0.0075,dOG,dzcdszuofs
829,zdwlcpqbla,-734
jrypykxbtr,cAT,-0.2105
doG,dOG,yvfmdeontx
rajzilpnkp,Cat,0.455
-0.1895,cAT,-0.235
caT,DoG,-0.078
CAT,Cat,DOg
0.1265,CaT,0.1455
DOg,dOg,dOg
0.0775,DOg,-901
qnemzoqsff,cAT,-0.3815
-0.467,dog,dyjomqpczd
-0.0395,cAt,wgiiayxlqw
0.034,DoG,DoG
yxzwknplqg,285,0.4755
-0.3725,lpsvocobqp,465
-493,Cat,0.425
-661,cAT,-0.402
-0.0615,cAt,930
