nazvayoiyt,rgpzqisdjb,iifnifipur,hgyinkohtu,ffybqvzpqa
0.0575,968,0.415,-327,DoG
629,0.1475,gdmnbiiayt,438,-750
107,-0.188,xvfxuzzpxo,-396,xvruwjzktk
itqpitwzqs,-323,dhabgcwbya,289,srkbzihivu
0.3865,Cat,wfqpkzfdys,-617,mrkmvhxmgf
dhjysrtwwv,825,asyyhxdzlz,-845,445
hbnknmsphs,iaivwfodmm,DOg,-0.0905,zyuvuxhvgp
ijkvekqdvy,694,cat,288,-0.1355
471,-370,-996,eqitruuerv,egkmmsipgk
-0.378,0.202,DOg,-0.304,dog
-0.291,woatunnuha,-856,-167,CaT
353,gufultvjhr,-0.3015,DOg,befbqbbkny
0.4925,0.223,caT,ogevppejwm,Dog
-916,dOg,CAT,-53,fiuhbalskd
-766,-459,0.3415,CAT,Cat
xuqztehiur,0.447,0.0045,nwapasjhed,-536
0.1795,0.3595,0.283,whdvyicepa,xszdzcqeca
ovtrvzjpun,-0.2445,nijjrgyqpv,473,-613
dpuioanxam,229,egoxhxmaql,wszscoxsob,0.4505
qctjfaxdgw,wtwzdoyvja,-0.0515,Cat,meedqauonq
-0.1385,ifcwsdxgqx,mfjnamqxka,CaT,-0.0935
xnmkwzxomh,-136,uytmgbeccx,nuldlccsdr,0.433
-976,-0.1815,ogcquaiznp,0.421,0.3555
-0.459,-0.3985,-0.1435,tvtwdftflp,DOg
396,mulyoescrm,-0.1875,250,958
-0.1675,-0.3025,hdbwkatihj,knyvvzkuaq,cat
cat,0.454,0.285,Cat,bwifqrfsod
pyqgjicpoi,197,-0.4005,fadstyepip,dog
-147,-0.4955,uefwkbbfaz,-0.3705,-0.217
-0.461,0.1205,504,weyxcwljvw,vyqlvvycvg
dOG,antgtweeip,0.328,-655,ukiaarxqqe
cAt,255,-0.452,-646,-472
cAT,lveemrgqtg,0.0725,0.11,0.353
0.0145,ksonfptwpd,594,540,967
oyodsbmnpz,0.0165,imlnposcua,306,739
caT,CaT,DOG,734,ngpwwfqltr
tybxqwbjqv,-0.279,afgfajlont,qchlpmnfzc,DoG
subbooylrg,-476,-482,DOG,0.448
0.0565,isfkolxygf,doG,-329,pcbnyelxfw
0.2665,yqabblrhac,sfyjwiprgy,bepuivxxfj,slrzepsqny
0.235,caT,-0.1205,xowttbudtn,Cat
-0.027,-198,iwnmvkefal,-0.2805,DOg
CaT,leygqebyex,onyqneafxx,110,-759
-0.3615,663,0.34,nhihgfoxxd,-346
442,-965,0.021,ujyurbuwhm,310
178,lcptgtanpx,0.1,ikcuouxvgh,iqxdkgyoer
cggiduzcmq,byeflnlvyw,nytjqhkgey,doG,ocjbqergod
rzgfyrtzbf,cat,rxbpeusdhp,-0.336,cAT
-64,-111,740,pgrpiclzaz,xnshtcgldg
waxhahzujy,-0.2245,uydeanzbpi,dannpjlgxk,caT
CAT,-0.4775,Cat,-0.26,741
662,0.0245,0.427,CaT,771
doG,npunbadtfy,0.4905,474,671
dOG,-0.213,-0.103,-0.143,CAt
-386,516,-361,vwqgiublhe,0.37
CAT,-0.391,-0.3855,iyvbpkhgsw,DoG
-673,bonrumngri,-489,0.046,0.1315
fizcoyfaiy,jqnmxfhbwg,0.3565,0.439,-0.0555
969,-0.0695,dog,skywqxxtqi,-76
-0.1625,-156,tagazuzizy,wtekiitjel,doG
vvyractiju,etymzvkpsj,0.3355,0.1175,hwvtgzxhkt
-0.247,-539,uqyzlpcuaf,628,-0.1295
-0.483,109,777,cAT,-715
0.034,0.2185,12,rdbdliczau,aavctbzqxe
-0.157,fovlwoezxy,-0.292,kyjwdxifgq,-774
DoG,320,kiicoxbmmr,pmzizjxtdf,-882
Dog,ztklxbkquv,799,gwwionzwaj,374
doG,CaT,lehprgxxay,749,dOg
