ipijpznmuw,octiagiaoo,pet
-987,datyphytxr,CAt
kdlisxgylx,xtsigggvql,caT
791,-704,CaT
wjvzmpzmxq,0.237,CAT
65,306,CAT
CAT,0.038,CaT
-121,dnieioytam,CAT
170,-137,DOG
dOg,-87,DOG
593,-0.1615,cAt
doG,-0.092,-0.1385
dOG,0.2555,cAT
-0.306,mdvuupricz,DOG
-662,cAT,DOg
-749,-150,CAT
0.131,-0.217,rvhsfpdska
301,105,-0.015
-0.3585,-0.0795,-0.2425
dog,dOg,DoG
icwyxgwzwf,-0.4195,cAT
673,-0.338,cat
-111,yqrvvkorvy,-0.0695
-0.1435,caT,dOG
-774,-0.258,Dog
CAT,hsbafgtofx,Cat
-0.4045,-852,DOg
75,-0.295,0.4155
-0.2975,dicsnwmmzv,Cat
-0.372,-548,dog
qbpgxndarz,rlagzeauug,DoG
-0.246,dOG,dog
0.3205,ptufztlwgq,-0.074
-211,caT,doG
rdufcwckfj,0.226,-564
335,mxaqwcibtt,doG
Cat,fwzgcbwrad,-0.347
uamaqhappi,DOg,CAt
vyukijnnjn,oacdfaosdz,uoconrswsa
havhwnlmxt,-0.0835,cAt
-0.0195,zfhgxblcmg,cgsuvdigni
tawkksptqp,-71,doG
0.327,-0.2885,DoG
-0.1875,-216,cAT
newpgvrgbx,-261,cAT
-0.409,mianaedots,CAT
-0.063,-0.285,cAT
adepedeunl,-0.38,CAT
dOg,0.477,CAT
ivphrjyapr,fokrrzgsto,vtpdghkfnu
0.1105,0.2505,hcalllrlxf
-245,631,dog
-82,ignhetgodg,0.4605
DoG,-0.49,-918
-489,-366,-535
0.05,962,caT
0.4155,zteezrqwaj,cAt
0.0505,880,Dog
CAt,-754,DOG
-0.445,976,cAt
-0.427,-858,dog
cAt,-831,DOG
rogvernwvc,fgldwtebwa,Dog
13,-192,CaT
cat,414,cat
dog,adwtfgvriq,CAt
