oprxoixqyj,czhgwhkzfm,hcjewwqicv,wfrabzepdw
0.48,xgklsusbhs,396,CaT
0.258,-0.132,-804,woamvhwufo
-380,iheiptland,-0.127,-485
0.0735,-0.4465,-0.3475,aykxzntcfw
phrrjzbyrr,hmvyufrieg,Dog,514
iskkxlqrjn,-0.3885,487,767
-549,cAT,-0.1425,aaedssewit
xsozngqnvp,rdoipbhhss,CAT,dOG
-783,617,cat,0.243
CaT,cAT,dOG,cAT
-910,cAT,-299,549
DOg,dOg,sgufeqwbmc,doG
caT,DoG,yxnpfbfbkz,666
-0.223,tdvlzmgjdq,CAt,rhoamwkqtu
404,mrrshvairv,-688,-0.0825
ototoxnzlt,ijjeaedgwq,-0.179,756
rwrcmrthal,0.2875,aqsrecxpjp,DOG
-132,249,crcibkmzid,4
0.3125,DoG,igsrbslowo,0.2175
783,ntkjqpjxgq,869,-45
523,-0.3255,0.443,-666
-99,-0.1595,419,agdxykygdz
-872,0.466,0.3445,433
ddhucauzmr,koidllunin,doG,CaT
DOg,-536,0.1305,-0.2905
931,rjvzjgjtyb,-0.157,cAt
-573,0.41,nxdfcgroun,-923
0.042,0.049,-68,CAt
-696,emvtxhrnlq,0.171,CaT
uctkyyfxdj,zfohcmqsvo,-0.1445,fpmyxzapyj
0.4165,wgodhcolnu,-107,xsbdhfugfr
-734,xomdhqybew,-0.0945,mbrcxdkikv
rpektgmawo,-762,244,cat
gtwilqmqkr,0.493,243,CAT
doG,0.1335,-517,-0.014
-0.227,0.232,-0.129,-0.462
897,0.0375,ytqkdrnnkm,0.278
DOG,hviybwbbni,668,sslzjmrddx
-800,420,rbvniovhot,0.134
tqndcbtvxh,-0.4775,Cat,0.0665
qhaftpedqe,eujvyrcifu,0.485,tvikmvsebd
-0.3495,CAT,yhdpimcptn,0.317
uufgjgnyqw,223,doG,qwoaenftvi
cAt,0.0465,zjwjghmjhw,gqaoxawkqs
auvsfluppf,dgqmohvivw,0.4435,hfndpouwjc
-0.164,0.094,107,vtoydrzpnf
mbxihqpphe,jlesenankt,wkijargzjq,0.2505
0.299,caT,DOg,368
-119,-0.159,dOG,ijaagcgxtn
dOG,CaT,736,gwhkltjopn
-817,-0.493,CaT,-861
cyqfqiwhtm,ugxktcdjgf,dog,0.1495
0.2695,-80,cAT,zbguoctfyg
654,wazuwwsamw,hfazbgdijl,-0.43
-237,428,0.0265,-111
kncanudxkp,ngswrpnyls,pnehajsohy,jbbdjjwuqi
caT,0.2635,0.445,nzhjohtoik
35,-776,enzztapdks,DOg
DOg,0.1405,dbbnwpvhyd,-0.1605
-597,-0.285,xlxrybzsix,0.37
507,moajzlvdrt,0.02,cAt
0.4275,dOg,hjzskgjaqu,-546
-0.4215,-0.3025,cAt,-0.3285
rstrjaabsb,-0.0915,fqdtpkdhtu,yqawvfuajr
0.4425,-0.316,0.3075,150
-0.201,-128,dOG,caT
-159,649,-0.14,-141
192,-0.349,0.4085,-0.2875
pwmtpyjkwm,mnjerqgevl,yxsxakufzg,cAT
555,DoG,ubzwiygqos,aycsyyhhvh
841,-241,87,zldkvtqxkf
-633,ujqbtbmhcx,-0.0855,dzqsftjqsg
asgwtffayo,389,CAT,pwventjuce
0.2725,-608,155,-766
-789,-0.3835,-969,gxdcuuuttb
doG,dpmeuxnnog,DOG,-944
0.1675,-0.301,cat,ralljdqesq
dOg,810,CaT,0.3905
718,85,CAT,pldcwpzayf
-0.45,dog,-675,0.2755
-0.393,235,ohprbifxww,-976
0.3405,472,-921,DoG
171,clzlojiwkf,-0.1625,-401
klkuytxllv,Dog,0.1375,-0.3815
qmsbsblvur,-0.245,dog,0.4665
wayoomuifo,-0.0225,0.3725,-0.1345
-0.141,-47,CAT,nueuwaxhes
dOG,aqfilsysjz,0.036,668
0.304,779,0.018,qotxeealuy
0.317,0.092,jawgzokzwc,-642
