xqdalzrhko,tabdfpvxgn,mkwlqhhudy
-0.4515,388,iynqsonmhn
316,ewbxpiqgul,0.163
-613,189,-0.0015
753,caT,-0.3645
mfhgtwqlpr,doxeksbfct,131
616,591,doG
-217,67,0.2235
swxitdckiz,CaT,-826
37,nhoevsymrl,evpumuxcpl
drxnevqfff,0.0775,CAt
0.082,0.077,CAT
754,-0.2975,nrsptbnfdw
-812,cat,-0.3315
jphmgtawpf,lfhrzumnqa,-0.441
50,497,-0.4975
0.4095,-522,256
DOG,cat,0.059
-162,0.0335,284
kjwsympswj,DOG,-395
vexbjylyue,-0.1465,CAT
-0.074,-0.2105,hgmmvhplbd
fajyusmdao,-987,-0.3435
yojcilycjf,-0.288,279
0.049,0.185,-127
-0.121,Dog,nacgyyrozq
0.4805,0.2355,-143
nvwxagwboy,-375,-319
37,0.1185,-0.2845
dog,nfjdiccqgy,0.2965
CAT,270,Cat
DOG,-205,-0.237
dog,-737,0.301
-0.395,-0.1135,-449
mhoemywffm,hkdmauesid,DoG
-253,0.465,0.48
wjzzbqnpmq,-825,cAT
83,-260,-605
0.185,0.3225,652
-0.0545,dOg,DOG
-660,393,-0.3915
0.3155,645,-496
691,tqrlyzronh,866
DoG,fovqfgwgna,xqonrrbtoe
581,-617,-661
gzdtiirtrv,-0.2725,156
-0.081,0.477,-0.424
ckbvpzllyu,325,pagscjbtah
-0.365,mfdjposclh,doG
ycpygcvnlb,-0.179,DOg
qdmxvculwy,0.318,-435
pzvdsygzhp,dxgpgaxvqc,uszjcxwqxn
-0.0155,0.1165,lelvznsgee
-0.062,whoydqfgcv,pyydwyggyj
0.441,-0.2185,0.435
ohggmsjibi,dOG,eyhnutvkzy
cumwqgzhxp,-0.0585,pjghgfcpcm
-138,0.0515,0.195
-141,cat,-0.3785
doG,-447,vzpfkxykml
0.2615,-658,CAt
-201,-216,-0.4085
Dog,znmdkmdyhn,-748
kyzevilynh,dog,vbbmnrsyjm
DOG,cat,0.3435
365,0.121,evbdnwanpq
qhslfouedh,-0.269,0.3555
caT,wmftsnrutg,-624
dog,72,etnkwjludw
CaT,lwhgmqobzj,315
dOg,0.291,-155
829,-652,doG
gcidobjpoa,-623,imdzexvgso
0.0765,Cat,atufonxggv
-0.268,-841,nhxzzmmybk
bpknrgdyle,352,guwzhsqhfa
vauaynyqpf,-339,kaptqlcpnz
-0.288,qaezmymvjb,-0.3905
pymjyymkzd,0.2105,-945
bsotusihyu,-413,cat
zokkevasuh,-0.2175,-0.0065
0.437,DOg,xfyorhyphj
-795,-0.463,cpdzeoilst
cAT,0.3105,162
209,419,-606
ggogdslavk,126,-0.135
0.0425,qcddmltjgp,gkqahcutsl
DOg,0.3915,-57
doG,0.1685,96
kluhqeenhj,0.329,727
nuspnvrbpm,offvbscvhb,-0.305
doG,-550,tqglbjahfe
-135,uqqykydumq,cat
oaduzuwbpg,neoypodxau,gxbxiqwvif
