opogyvmqxw,heyrdknwjc,pet
mhuqtzonrm,lanwnspuai,caT
dog,810,zqhmlxsjnk
nacwfwdcea,dhshisfurz,-478
86,-758,dOg
0.298,0.4445,CAt
-560,dog,DoG
-0.214,dOg,cat
zogelxvxao,-0.132,Cat
0.381,0.1095,cAt
CAt,1,Dog
-0.052,Dog,caT
cecsjpefpw,-0.3895,DOG
804,-704,uxzdncinjo
-0.044,905,CAt
698,qfcwgodiqq,dOg
qwjuznvscv,475,DOG
839,484,344
ihihmmlthx,gtycojekro,dog
-0.0605,0.3865,dOg
cmqpiyoksb,DOg,0.092
rvesqnuuix,-0.0855,DOg
CAT,atfxqcrnzn,cAt
903,-713,ubgcaqrgwj
tpdyeyuhzx,rkbpdcivzb,cAt
CAt,hlapjsuyzp,0.117
-29,-0.399,cAt
347,-807,dOg
0.29,kzzppzoyjf,Cat
-308,0.4905,-0.4575
911,0.416,0.3005
cAt,hgyvqllizh,Dog
657,-855,caT
643,-0.1175,CAt
dog,-322,cAt
pnhbgavtdk,718,cat
bpfjrgonqt,686,dOG
-652,985,jtebqeoemf
rpzmjvbtfl,212,0.179
vgvuyhmpct,Cat,-543
285,0.0075,-0.421
0.3485,doG,dwftkyuqkf
-203,qfssivgecl,eqxhgjpyqq
Dog,-14,CAT
kacgemlfht,0.194,CaT
umwfivklou,0.002,Dog
-0.177,509,CaT
390,-47,-361
caT,933,xqdcfqkczs
-0.075,-0.341,0.1215
jhlwytcisl,kixwwkmiyt,ktzsvqmtmq
otrukwrhpc,CAt,cAT
-0.1175,doG,cAT
-0.4785,cAT,DOg
mehtfqxkfq,-0.305,cAt
-840,mejewmxlnc,doG
-885,0.267,doG
0.407,hilbhhvdoi,DOG
935,278,991
llphovklgm,-622,caT
cygftoxbxd,sqtjitdunb,CAT
-268,-0.4255,caT
cat,580,dOG
Dog,-444,68
flgqialavr,tghkbcbdbb,auxynxcito
-811,525,-707
-0.0295,dOG,-187
CaT,-239,CAt
-550,-796,661
Cat,-728,cat
353,ficikpgdpq,dOg
eqjoylsndk,0.2345,CAt
wpepuvfptr,mihksrndgk,cAT
0.2605,853,Cat
-0.233,-681,cAt
834,qwlldjoghp,gafspeouvy
Cat,-0.2715,caT
735,kvsxaupcyz,CAt
CAT,-0.192,doG
-717,pqxbcrxhzk,CAt
woepdjjumn,vkrzxdvynk,599
jfsxkrbsxi,dOG,-569
709,duhdmhlvxj,cat
CAT,-0.3575,DOG
-396,zxnvzxzgeb,DOg
-0.255,749,Dog
gudjlbkmfq,-0.086,doG
0.2485,blhdmzwhyo,CAt
361,935,DoG
DOg,DoG,0.0175
-574,-0.4575,cAT
xtsnupgxin,gbceopcvgs,olsaugawzm
