PEt,oynrwwkynh,fqpyojmyxk
doG,wwaleixmlg,kqirsimayd
cat,jexzerlmpv,258
DOg,dOG,793
-170,-387,hytiovxare
CAt,CAt,caT
CAT,teseeowoox,-0.479
cAt,ucmtktuocm,vlapvkvzlo
doG,749,771
cAT,-387,-0.015
745,doG,0.444
cat,-0.1325,-0.1645
uzjzonhwjq,ibcebsjylq,idxwrcbvio
dOg,ssmglyhnzi,CAt
cAt,rrailzkjjx,0.4395
CaT,-817,cat
cAT,DOg,95
dOg,ywyakaprmh,396
doG,-0.356,0.3175
dog,cAt,DOg
DOg,-0.0115,cznbmwggbt
cAt,-956,bstisnxgtd
CaT,sgkmogbdal,ecrbhfyuwc
-510,-0.0105,-198
cat,257,dOg
Cat,okhfrrfxtn,CAT
CAT,anfhbuapgh,471
0.483,-60,gzsndapvvn
