utsxjhkqet,xyolinnkmw,kydqbcopzi,tmidqoqqcf,PEt,zoqzujgxqf,qlahiznfzl
cAt,zsrvjeuzkb,737,uizjrdyete,dOg,hrgsoxxutg,-797
Dog,443,0.4715,0.144,dOG,125,dog
366,ceetixkopg,0.457,qfptfpgpxq,mzvypjvvnd,doG,-0.446
yuwgzqwtid,bafpmcibbi,cAT,-836,0.321,xqhjxhtvdb,0.214
-0.2475,CAt,siiiubswxb,980,CaT,xkxgxgzlgs,425
zgecnyhxcb,tutjleqzpk,dOg,0.159,DOG,473,0.202
bawurscozw,-0.1525,cdhmyxynur,cAT,437,0.28,ibxqelcttn
ddtdohkhnl,DoG,0.31,-0.332,caT,-888,wogyfyprux
hesrgbsnyl,hevsivtzqj,-0.264,Dog,873,dog,502
cjtthqcwgi,914,kbzdiqtuib,372,CAT,-169,gkzkggooax
gjkasgyzau,-975,yyestcyhqj,549,immwfurugc,xtkjejbuvb,490
0.1705,0.0785,-657,-0.245,Dog,892,-0.404
hivvtpqbww,mhghwonbzv,wgxlxswatb,Dog,dOg,udnnovaflv,0.2125
