sdazpdcdfd,cixfsyazdt,PEt,urbaqlgxzr,utofelwlye
bawhomqpsx,948,-323,rkrsrzpzid,sokjsemltu
qfckvxkpdf,0.039,cat,dOg,892
rwdhtekkrn,CAt,cAt,vidsiqghqe,ggfqdldbwv
-0.134,176,cat,-638,-0.305
0.1745,172,CAT,hxlhmaomqr,0.2345
doG,ccaedjcfwz,-709,-644,gauvimeqim
dOg,jpnqmoviho,wbsuqxjlpr,DOg,0.3625
mkrexiuzbj,caT,0.4045,-26,lsvuqfmktv
280,268,cat,-0.4485,-0.3025
DOg,bfzbfpbxfa,DOg,-58,thyhswqrjz
igxjvkoijc,pmslooqtqe,dOG,108,-0.441
CAt,0.076,801,75,ohtvpycwkd
0.106,-962,doG,mslgujomeb,fhwfrxjkxi
0.4005,wgwobxyhtz,dog,0.1415,-436
0.4235,naidjeoeqi,jtrywibhmg,qacdibgahj,cAT
DOg,DoG,DOg,0.3215,hjfmcablhv
289,-15,CaT,cat,0.174
-0.0535,-0.119,0.063,494,wcnddgkpmf
cat,zbcavgbtjg,626,-598,auckeiorvs
uqargpdtse,Dog,-0.2385,-0.016,-0.011
-49,lwpentgehr,Cat,cAT,caT
iaqqgngxzz,-0.1165,dOG,upghyvyvfo,wdbkqynhzi
-0.2105,-0.0335,dugdqzgeqi,qcwfrtmegv,DOG
-68,voalcusvqo,CAT,-0.4165,676
-0.0175,-0.0855,0.3395,605,19
DOG,uljichiitf,dog,dOg,lfqwljslne
-0.471,1,caT,0.271,dOG
hylokhewvi,-917,-43,0.241,cqtxqxuygg
zlbqjfdamt,Dog,792,Cat,376
xpgimerluh,710,cAt,39,etbwumhslz
Dog,DOG,-602,yywjlazuil,274
0.0325,nfucfppjei,CaT,0.156,-0.1125
-0.2505,680,0.3885,-0.499,caT
Dog,fkfpmlrofh,-938,lkoujywopf,-385
jmzxmsxfpz,Cat,CaT,218,0.246
xfjyhnwgms,0.478,-590,dOG,-1000
-350,CaT,CAT,-0.1415,808
-0.3545,ajpwkmhpdp,Cat,929,savqpbsdsp
DOG,doG,-0.335,-0.02,-0.423
CAT,0.483,721,blijwfrgpg,tzxzsvuvmc
gwhqjsispr,-613,cAT,cat,0.4135
skuhvcvjnq,-0.065,DoG,zrhewccqhj,-810
-0.3815,-0.192,-0.443,fpzvyklgxy,298
cat,bgkxerxgff,DOG,582,-0.2195
-66,-557,cAt,oikmtmvwsv,0.241
-378,jhjonswhlo,DOG,DOG,Dog
0.4915,CAT,0.393,jgydkzoafq,vsdysuevcx
0.3525,-0.006,Dog,-847,mbekgsezmf
doG,-0.0615,doG,0.1305,-0.303
-0.092,47,-809,0.4645,-0.1555
lruypnzuth,-937,Dog,0.006,dOg
kweywcsplu,505,DoG,-0.45,0.294
