alumqwzfza,ewdfrnwshf,ztniarqiul,pmtcfhcocs,fppskezngs
-0.491,0.041,cAT,bdtrppgqik,0.037
-0.2405,paaibvhvgu,502,cAt,CAT
CAT,0.436,558,0.46,busqvuuprl
-0.437,0.189,pkjwgykroa,-0.4035,-971
Dog,-58,511,dOg,0.0915
-704,0.3445,0.013,brafftbmpy,xtktimfobp
0.127,759,0.3045,-0.056,usxnprdgmx
-0.3035,CaT,-587,DOg,-53
vzigndwfjm,DOg,asoriuhuzx,496,caT
0.3785,zbrbemmrxe,relsrmekfc,0.468,lmdembtmuk
CaT,519,0.2465,ebqyxhrfry,CAt
770,781,Dog,-801,0.193
-634,-849,DOg,530,-65
nvdjjawwob,-579,126,-0.068,pxylxlvamb
CaT,-796,362,-399,uvfbcxfdss
wuocwzdvok,-674,-0.4585,izfajfwokf,-0.33
-951,-0.441,hwzwjbfjmd,0.055,-205
-0.379,-182,gikimatrjo,Cat,caT
-532,yvpwxorozt,cAt,CAt,658
-0.137,jrlxjrfycg,-0.322,-46,-955
DOg,jawjdeemzk,pbysaaipna,ndqcbthizz,phfaxtjyjh
