xrykzgsjoi,qbhgnknjxo,fsufuzoapf,djcipwkvch,dyaftinqvk,wlmaptuncb,ahhjheorrz
-0.312,-324,-849,nhmmfardfb,-487,0.2965,-0.039
gxclxaimdo,-8,zxmnlzdtvl,DOG,-337,-0.4935,-351
0.1885,smrawqpesj,-0.1035,-0.4115,fohhmgeoxl,ptlpgjqpxk,ucslkvjxaz
649,unrrdhekye,670,vhbqiwpuzv,CAT,-55,gmumamqvej
wnkxrelejb,0.095,CaT,kfwmmsqyrb,11,-0.3715,DOg
305,cAt,0.002,xuifskfzlb,-0.327,0.0025,0.469
mtpejeiwte,-0.036,-0.287,dOg,uclesdhcud,-0.2825,702
-0.225,kwpqksxhdg,CAT,336,DOG,acjswnlusl,411
scnwdbmyys,caT,-550,533,zhzvebditm,0.0065,-769
kzrhupputo,caT,-130,0.3085,ecshuuhqnb,-0.467,Cat
cxnnznpwon,-557,622,rukpmlymhs,jhihjlxpym,371,-506
lexfqpnzuz,roctwnvqoe,Dog,-342,CaT,cuvbjnhydk,286
-568,0.1885,0.2255,0.1465,-0.1675,453,-0.0955
-593,-0.3615,-0.363,-0.2625,qkurfxqnrd,0.02,-0.3525
0.4395,dOG,dbvxwjgnud,dOG,rswsxmtupu,cat,505
323,caT,psctccdyib,-0.3995,-0.429,0.0055,xaeirkkskj
CAt,dOG,-856,-441,414,0.4,cAT
awotkfucag,-0.211,eedzjjxyvh,0.0935,436,-0.466,191
jpplpxklnk,pzhavhqzes,-0.3415,-247,0.0205,-0.131,cAt
0.1125,-0.3815,0.046,0.4795,tidpipgums,jvcuhormfv,eievuhwysa
-143,pprzfvpozc,0.006,-0.0155,-0.453,-619,-747
0.0825,0.3285,gknoiaxbkg,753,zghosplmlx,422,ltgnavdngv
caT,0.272,CAt,fsvpppxpxa,95,-0.081,635
czwnoeugiq,Dog,-0.3735,-0.165,-741,-0.017,nnopdjxlyz
179,doG,0.0645,jndkncvesn,-0.0345,957,-0.4495
0.26,erzxvycaqj,-0.4685,-0.283,whqvcvbtmn,660,0.34
0.4675,Cat,-0.256,olohiwowzg,0.4385,-0.4605,411
-0.4555,DOg,umcyrqjtay,DOg,CaT,Cat,0.319
-0.0985,zwftmdcugo,-0.4435,dOG,egiyhvwjsg,-411,-0.3225
doG,kjlxggbbyv,CAT,wobbuvtlnm,qzqbvvqjvm,683,CaT
cat,ctknrjvazl,DOg,-764,hrnuyesscv,539,cAt
dOG,-881,CAt,uhdpfsidkd,tbzrpolslt,chfjxtdrsl,lerkvnkwyv
161,-236,0.12,dOG,rqzzazgidy,htbljayesg,rthdflxptl
-247,yetswwepoi,caT,-192,511,azxyepuixz,gsytqzuoea
171,hsheygsjgu,rdyrjloyko,0.224,cAt,598,-637
-0.303,-818,380,bnybodyhzs,ruqsclxbgb,-40,sivfjqrglu
liarlrkzon,-365,ujhijzjdzl,858,315,dOG,kevsomzkmz
dxtssabsoj,ukyaznoora,ooftmcadyw,-259,DOG,krkmthoozt,qbmermpdyn
eymqzykwle,othfzmakqt,urwpunrldm,tkaacbxaqo,-947,-0.0835,0.066
-0.309,shxahxdxox,-0.0545,0.1215,-223,CAT,46
CAt,dOg,-0.203,0.0155,-927,jzyahdnifl,0.049
-0.121,pfploayjux,769,684,-0.413,xiboalyhym,DOg
dOg,CaT,dwzqancwpq,dOg,929,994,905
uszhmadtup,kpfjlfirca,0.104,892,430,-0.078,0.4435
qqclgbfyqh,stmautkdus,CAT,0.462,aulapxnulu,ukvhlbbnnt,zhurjjzaqw
0.2825,jrocptbcqp,doG,0.17,inytcirnbi,0.446,-0.3875
-0.264,caT,75,CAT,rxcgwxqguo,zeckzgiebk,0.0025
llrqqdsnpp,0.1495,rumrngzxnf,ufpqxfkyja,doG,tpdckrsedo,cAT
dmmttaatui,289,-893,0.3035,aeetghkqum,-516,sdqxzbbayf
bbhmitevvv,0.155,0.435,-0.061,CaT,Dog,-0.3955
-741,-0.0015,vozuesuweh,-0.0885,-0.4145,Dog,wgpqgdshte
ecvdcixliy,-0.469,-0.258,-224,DoG,96,-508
ifnussgpxm,Dog,dOg,-0.279,ysbnpjulgy,vendeyarpy,0.35
-854,240,ulvnldcaqt,klrnkhaalp,jkdrvlcsno,314,0.404
knebpjwrmh,ifeoxhakek,-849,-59,-0.0625,-0.354,0.186
-0.2465,-574,spczxwsrza,Dog,-131,-0.4475,588
-0.352,0.1665,ucneyiivmm,nmhgrydzhr,-644,lwsgqpptcb,596
tvauzdadpw,0.37,0.1415,mvqrffmvyv,hawcfzubwq,CAT,doG
qcnurqzbpr,765,vzzqvixeda,-0.05,0.2675,fihfdgoauj,vkynpfyhum
0.349,caT,995,-396,-0.0935,dOG,cAt
fhupddsglj,0.165,auoxcjwnfr,doG,0.484,309,573
gaycdkaxhw,-0.49,-563,-0.2045,0.392,vauakaiakg,-978
DoG,-0.4625,Cat,kwelqhuaqe,-50,-0.3665,puhzdyoomn
nbuxdomkqp,jhbgctfthn,ocipkpwgoe,-0.1955,-0.047,qdxaryoabz,Dog
-0.279,cat,sxjzlhkxbg,522,-106,-0.31,0.308
-1000,vyydvxpnxs,-0.1915,lugkyverxj,cAT,-308,dOG
0.102,0.2285,vbugudbkks,ldabjtgsbz,jwubudffvm,-314,atpviswkbj
-0.464,0.091,-0.092,dOg,zydvrwptmz,-945,-609
jbtbbzvdjn,-0.3235,-0.0465,ynxtxpaxvv,-301,jovpyfdajo,DOG
cAT,qkkvpawgke,-0.0235,-0.423,-0.05,0.078,-518
zphhomwpqe,80,-0.497,0.35,dOg,-643,riuzcgvysd
zqxljznonj,cat,665,912,-0.0145,dOG,jmfffynqic
CAt,0.055,wmnungkgtm,CAT,670,0.3915,672
nuemgspjgo,-919,871,ysnvpnukqu,qyfwnqectk,dmyslcokpb,-0.003
0.1565,uzhsnsucyg,530,enznxfnurv,ohzjwtkpyn,917,doG
