yhvthjapiy,kfdwzhbfoh,vosjvdprej
-741,vdxuzlpqrw,xspdssadcg
-0.1175,ozwgmnohdg,gpfxfbichv
-868,-0.134,wvzpuormhm
CAT,ekezfvqzze,-0.0745
51,355,uhwpilmuxe
imklytidgz,0.256,CaT
-451,cohxyavvvh,CAT
0.0335,-0.03,CAt
-887,148,-566
-0.0445,-0.0025,tdmsftmvjs
0.1125,670,0.16
0.2645,nxnkasaoib,755
-265,svtnhswzvr,-0.1785
159,-0.472,0.087
-433,-648,0.1565
DoG,rcgfojgqhc,dOg
dOG,tmlbonvfks,-0.189
caT,239,okmvxeymes
CaT,CAT,kkhlkftmbt
dOG,0.2995,-0.059
766,0.2175,jjdpozsfsg
-0.5,jjfaxjxeey,caT
920,pyyhpyumou,szdupyffic
996,441,wlugevsrvo
-0.3195,lvbtblgdyk,0.491
-0.4935,738,Dog
-0.231,cat,-0.3445
CaT,-0.4915,xkzuopuotk
Cat,297,0.158
-509,vvkymqxtbu,-119
0.449,683,365
wbdboilrhn,-0.433,-196
-0.451,hvbumbomsh,cghhmuarwo
-323,eplcyuodtb,-0.164
-122,833,-0.1595
380,CAt,0.152
886,cAt,CAt
DOg,-0.3185,45
0.249,bgkoajyrhm,-653
-373,dog,-0.2995
dOG,362,ogojvyqcui
zmlcwoghyd,pfmtyzzafx,-220
pnmdwckoyb,-0.3695,zohioyjmpb
-835,ahifgaoywu,mudwdjlfjg
202,-0.31,-867
0.095,-0.4945,-130
dOg,0.473,0.084
-966,-0.4355,nlmkbpxwwj
-342,-0.113,eufwqzndip
-0.111,gupzxjiqxl,-0.488
0.039,542,DOg
0.2685,-509,375
DoG,0.111,-148
-503,mcirroqglz,432
-0.1665,-766,0.1105
-0.0645,DOG,478
62,dog,teugmyeozv
0.4885,ekfvwieoyn,-823
-0.0635,Dog,DoG
1000,fiowiwqgzk,906
Dog,-609,-0.066
-0.0695,dOg,-0.223
486,789,scxarayycy
