qeakxwsyre,achtuvmqzr,kmgcyfieif,vraveoijpz,wdvjkxaldw
-0.146,ksplcceico,lyaplkcyyo,didblvieqg,-0.4295
0.35,dOg,jmmkcyxutu,DoG,vkmgqoxtde
410,-578,800,-543,-143
pmglapmecj,677,-137,581,0.4995
rsdxpnysgi,-0.4775,gntrwaeqbk,wjiiwazqas,-0.1685
-633,-0.156,dvfjgecdqn,-0.3725,CAt
kwncsleazy,mymghwodwx,-132,appegglqul,-260
498,DOG,-203,CAT,-0.0295
-297,-36,0.4235,-283,dcjstrupzq
-623,fkyzgwbsyh,qgxlgwawya,-395,-0.2535
-0.0105,CaT,tbhukwdvob,-0.0905,0.216
-0.013,-449,0.289,-635,qdrplryory
407,0.0955,0.331,tlalarrqvw,cAT
0.24,-0.0005,nmzxtdsilr,592,igzhuvcuqm
gwqbvustqb,-0.1095,ghlbnkspln,DOg,-376
0.001,-0.453,DOG,28,cat
CaT,ekehfghfnw,CAT,eyollbonbi,296
-632,-141,516,-732,-0.24
-0.44,-0.3405,isfkepcgtj,jtwtfeccdl,0.4045
0.1805,921,-937,fdcmokalrb,Cat
mnadqbzvsn,230,-0.384,caT,DOG
-676,kgypnvsgiy,-142,-0.292,901
574,-596,Cat,dOG,cAT
-0.398,-0.401,223,-0.398,-0.372
-558,ilgftjpqcs,154,mfpgpdxhwg,klsdfrfhil
208,0.369,-0.1385,0.0035,-34
halirkomfv,hgaxycyegs,yfaeyrmlkv,-0.365,-240
-668,0.413,-512,DOg,0.073
xqijzllxbp,187,ljtmyjmshf,nuvhjchnkn,871
unncuybczk,CAt,bfykyzjhuk,0.1775,-0.2545
cAt,cwuwcfdktj,ucvoqxbaty,zpvmojovjj,-0.073
cAT,-236,vytsmlfety,-532,-0.21
wdfabcoegl,283,114,-0.077,584
rbbveatqpb,pwmfyqwdal,424,unklgmmuhn,-644
meruobzhtl,523,yshbpuegcz,-401,fzpdoorszk
-21,-0.0125,tvpbcfpgsq,-403,dog
0.414,DoG,0.2145,0.4005,124
775,CAT,0.0035,dOG,-0.4275
0.072,-0.4995,-0.184,CaT,0.4885
-568,-239,0.071,-934,-560
-191,764,-0.291,0.075,aqdwjvwtay
DOg,cAt,wmttezhlle,-0.035,898
rzfpqzjznu,-663,cAT,703,cat
0.481,0.473,Dog,tidkxcrzil,dOG
721,0.37,-0.488,kedgatrcbc,doG
CAT,-0.46,cmejulianz,677,caT
985,0.484,cat,-0.3525,242
0.2055,svhsncyrhl,0.3225,-254,-108
-0.2215,Dog,bustysjnpq,Cat,0.3655
0.382,0.3335,630,0.4125,0.217
oboavlhweu,686,cAt,0.244,Dog
DOg,-909,flpcsuwfed,mpuorwsxae,tuoteisnua
-0.052,dOg,hmdwdkzmaj,0.441,dplqbjravp
0.258,430,-0.385,476,-0.1775
-0.1815,ckzkffsczh,-0.1605,pvqtkymbku,339
446,85,-0.2535,0.225,0.0185
gdzuvixzsx,CAT,274,-301,793
Dog,536,ppnxmbyoxn,CAT,-0.271
-0.043,-0.2595,-0.0485,-0.018,-757
591,cat,579,-0.2295,-550
caT,dOg,uawvpwkhml,cbfriiyicg,-0.0785
bquohhpnrg,-883,-524,0.431,nzymejhipy
bzsnviozgs,-277,Dog,-0.3365,bcigvtkuif
dog,-149,-0.043,zfvcdbvlrb,-649
dog,-463,548,-378,DoG
trtpwntkva,0.0795,vgcbrtggwz,-455,xjcyhdpctc
388,-924,zpnniudgzh,yqrvpxrxvx,929
ftpftrbstu,whnsolgixv,bsjadekrsb,-347,cAt
561,-0.411,780,amubgnialw,CAT
-0.09,0.0615,-0.064,nbepauztqn,873
30,0.183,-0.061,527,vdzsxwctfi
egthfygbui,DOg,DoG,rpdiuynptn,0.3315
byijspxorb,opuyttszyy,0.0745,dpfnawlumf,-0.16
jpuoyrnhuc,0.472,DoG,mucdmngdyx,qpfpjyfpdx
lbrwgiuycq,-297,0.3975,614,-704
-0.208,0.222,sqequlpsub,-0.3595,72
Cat,-231,565,dfrmhfbyhv,caT
cAt,CaT,ykoedltnjr,-405,lytpogdrwl
-775,0.207,-0.1675,-0.307,cAT
