ugfplcnpig,qcichydjzb,zbkvqzwpxp,PeT
xgkulrvntw,0.294,0.133,cAT
0.4745,0.39,hlffmezcpk,dOg
mphhxvpnnf,751,rcumfwdvtu,DoG
78,uqcxkinmvd,-0.1595,-542
veevsmjves,-211,29,doG
dmtuszulgq,576,0.1315,CAt
0.2695,0.136,-340,-556
aqvfxudnhk,-0.036,ogghuiypid,912
doG,ivkwaheicr,djoyahyrjm,mqowukbciu
437,rthxiklznk,cAT,DOg
0.4835,-0.042,-859,caT
mfumjrvvvd,Dog,qpadaikoxb,cquqcmpstq
-860,cat,-0.1565,CAT
cat,-878,ktqhbwuvhm,Dog
zrhpxvmrtf,-377,yrsjtklqdb,dOg
fjypfyksvn,-0.0115,241,0.413
cAt,-915,-639,-389
-475,mxbgbfnlmb,DoG,caT
-0.1425,doG,kqftvzurtw,cAT
372,rdwpezmanx,doG,Dog
110,iaaxprfgge,dOG,DOG
