upqjfrdzyh,pEt,bgmibxcrqc
-0.444,dOG,960
epujkhjndg,-874,0.249
CAt,caT,rpwxyzmdvm
0.478,caT,0.377
-0.282,CaT,CAT
hdiptujncb,0.327,289
-0.272,Cat,308
-0.0125,Cat,-0.4605
0.135,doG,doG
250,0.42,-0.082
-0.35,dOG,-685
-0.343,dOg,-0.1755
-897,dOG,CAT
tgtxkeaufh,-0.2335,toerusimjm
-0.4635,caT,353
-0.0415,cAt,512
0.398,Dog,-236
-0.297,-124,Cat
0.373,cAt,ftfophbmxe
491,dog,139
DOG,xyzrinncal,-117
CaT,caT,0.0405
-0.0825,cAT,-69
426,ppkkekhgik,0.304
cat,CAT,gkjlxqvyrm
-0.042,0.336,agavhkhnpq
0.2925,DoG,-821
0.0515,dweibhidmv,kziaenlngf
-0.169,Cat,lqvzqbsjck
iqjcbawkgi,cAt,-0.2905
0.123,cAT,0.3985
hbnaupmnjp,-0.37,tbftqfyuvw
caT,caT,569
peuutqtutl,CAT,CaT
168,doG,-0.2945
0.4905,DoG,0.2605
-0.036,mivpfcqeqg,dOg
-0.3085,Dog,Dog
caT,DOg,axgjcpzuwq
-181,-0.0185,-0.4915
cAt,DoG,716
