gfxpkcjzfk,pEt,qikgdrqotb,ktowcsnqhx,agzbivbitu
DOg,dOG,CaT,vtfmochfrg,nbvoamsxmf
cAT,caT,lgzyyvvlyp,832,-0.2995
yzeraxxkdq,-766,-397,-960,-0.2985
0.467,CAt,518,qiapapplit,609
heghuiaukn,cAT,0.4825,tqwdkevgzs,-0.2105
-0.3445,CaT,0.0185,Dog,0.1305
CAT,cAt,21,dog,dOg
-798,cAt,fwifaxqlwv,cAT,950
-761,-0.4905,0.344,0.356,0.3245
DOg,Dog,0.4565,-915,evgibzqjow
cnnpqwgfzv,-953,CAt,ukzowkfzsp,CAt
qofkfmmuju,cAT,-850,-0.059,ucgtlomgyd
-0.0865,caT,0.299,nrgcvdrtni,-0.3615
0.211,dOg,0.407,caT,ffmqxkaltu
-0.375,dog,-0.2525,800,cAt
-125,Dog,-633,-626,zchmqxodsc
0.089,dog,0.1095,-714,-0.076
135,cAT,0.428,DOG,wpzphsfqtx
bzbgdtkfwz,cAT,uokujqcnoa,vvndhyblnv,lkjvyixhjj
lmljfacdal,CaT,CAt,0.3845,0.208
442,Cat,hldcarynby,-0.248,624
-0.2845,Dog,-0.1,145,zorylycowv
hzwzpvjevc,949,cAT,sabjaiuqyf,qbhkigmxgm
fbgdrnlpdf,dog,0.021,gukvzsqxpn,lhmdllapwu
952,CAT,zxkxkplwth,-0.1535,doG
tsbsaakhnj,CAt,xeynnzwexn,doG,entdrwwipi
