eadubwceke,xqcxgqskvi,ncfmmblblb
DOG,lpfxvtwsom,0.047
-198,cAT,qfltokphdg
DOg,966,-0.3305
0.373,sjzyswfknv,0.18
wotkktgcpz,-363,0.2625
0.197,846,0.0245
dog,DOG,0.26
DoG,uxspcmdkfb,huytjtkovy
0.2795,0.4995,0.327
0.0195,0.269,ibeulpjlwn
doG,0.4885,-0.2685
rntcxmspcl,-0.086,250
-106,vmbhwkinhi,ayjkoslpjf
-0.0555,rdmxwbkwjn,3
-300,271,cwcquidgso
cAt,yfythcrvtu,-880
pezjpwsxew,dqijjclxeq,buvvwdixrf
-0.487,skdzalelfx,-0.279
lnmvgvjhhp,CaT,lamwdyvoic
godlerzswe,-0.307,CAT
879,jitmypxvhh,-695
-556,-0.3685,pttyzqbcxt
0.304,dOG,lonlzuwvdz
obikclwxfu,hukyuxvcfj,pduzabzehj
CaT,-0.172,-459
DOg,723,srjurulzin
-278,745,gvhtsgszxl
DOg,CaT,-526
-392,896,CAt
ntmbuhbrpi,-0.1835,yrghyfeety
rteascehav,0.4605,-508
gcwfgfwfwz,0.4445,0.2405
10,294,-784
cAt,-0.051,-739
-694,-0.0735,dOg
764,0.1075,abmruurwax
nojkmapkri,ujjxvotgpa,Dog
-0.499,-902,dog
899,0.4735,cat
-544,apiaklrphn,qlbehyiwjl
DOG,-0.352,puzuhyyfej
-803,aqhfkvneer,-292
0.475,vctsqrsrzz,322
158,CaT,caT
-226,znjlzfrmzo,yvdwrssdcr
-226,-451,0.297
-931,Cat,305
222,71,-370
0.4975,0.0145,-0.33
-0.1275,dvnaakupcz,-0.0705
-888,-0.211,596
pgpxwmtezk,-808,-0.0735
924,ggrfaxzogc,0.322
0.203,767,619
trfjotfbgz,0.344,cat
-0.128,-0.318,bmdqfwquoq
-841,cAT,-0.158
fjjkzdyamb,0.322,fcikvvgkon
tsqdmwwwfh,hvvpuwsydm,168
-476,kmaupkflvh,867
CaT,DOG,cyqyfukfps
oekjvrrdjn,dog,bgjrmktrkz
yowthrqxea,-987,doG
322,-0.0805,DOG
cAt,caT,-0.045
lxgrvpkgpc,pzbohwpvjm,mnwdkwbsff
-735,-0.313,ztgvujqyuk
-127,-0.3595,msxxpglnfo
dOG,-0.3585,klwbsmdeff
0.1175,0.4895,lvhqyxjygn
0.3075,-0.3635,-0.2905
567,mbcqzkpfxh,DOG
866,ckfyxckswn,subaaohlno
dOG,nojhrrrohc,276
zplrtadcfq,sptawcdypp,wimpjptjyv
0.308,iuqbwzxvxp,-0.168
DOG,-0.065,0.056
0.4685,CaT,cAT
dOg,cat,knthepfagl
ypbrsisbxc,sgopdnmbjr,0.061
Cat,312,-0.4
793,kljxqwymnh,caT
sbxqzniyst,0.469,0.462
0.3905,22,Dog
iyhlavpgco,tvakwkmwhf,42
-0.497,0.3505,282
qkvzwnwjpl,cat,-0.3565
cat,-0.21,222
-399,-58,CAt
xrgsbztrqs,dog,Cat
phantwccwh,-338,wkiylecaal
950,39,qybluysdsl
CAt,-0.039,925
