hjkzxojgvb,okdmnskwlr,pet
-0.2045,970,DoG
-0.073,itnpxqxlgd,DOg
-709,17,0.223
177,alrvlxjtck,Dog
dOg,bzodaevdzf,cat
sghstjfqjs,-0.4315,doG
dOG,gnwfnuygup,Cat
iligotpcqu,-0.117,dog
hfqtdrhhiu,dOg,DOg
-34,-0.3115,dOG
okhfhywsyu,cAt,dog
-0.2105,-864,zshfmttnbx
Cat,caT,0.2215
789,0.2975,CAT
cAT,-0.4415,Cat
poczczmyrc,19,0.1125
cAT,-951,rkdtsciwtx
fiwrqrfwyl,gxjzuuzxmt,cAt
-0.228,-0.383,DOg
-0.16,Dog,Dog
yeswqgfodi,-0.042,cAt
-0.4845,sqfwkeeqkl,dOg
caT,0.166,CAT
CAt,ohlhirhncq,Cat
doG,dtdjgtcpgv,xxlqjnoxpe
dog,108,cAT
-0.016,-0.426,cAt
cAt,bluwdghrws,-55
valaazfdxv,-746,DoG
-0.048,0.14,Dog
0.3615,tskhnammys,CAt
164,132,dOG
1,-511,doG
-323,739,DOg
tvfoqppxfd,CaT,caT
-0.3365,ywyogqjbxt,cat
929,711,DoG
luqyybjpxw,-0.448,DOg
-0.497,yywefsjkwb,lxmxebyhsq
-0.099,gbjmcnedpv,cat
bkwdibnnqr,bdbkklsxks,dog
CAt,-0.14,dOG
aosuwxvlld,dOg,Cat
huknoeetby,0.3045,cAT
0.261,-667,CAT
-0.0455,Dog,Dog
tonxyvgxvn,-619,DOG
dcsfqthppt,0.458,0.3255
tiojcwmeyl,0.343,CAt
heayquhbpb,mgxqkuvnqr,CAT
0.2065,-0.4955,0.26
dOg,-0.2315,owzjawiyld
caT,939,Cat
-0.4815,-788,CAT
0.176,-0.2465,-0.255
722,DOG,DoG
fnwyqoytkb,dOg,caT
kfpgaygjrz,-0.0955,dog
cjrjwfnbef,yjwuxhouih,knxmzevxwz
-0.4165,0.0765,vfjhaokxff
xgrdwhilwt,-0.2555,dOg
cpxenhhptb,ewmsfzhgin,550
cat,-0.466,cat
-213,-992,CAt
-0.424,0.171,DoG
eelbyaxddh,tzddvnxilj,dog
-0.4415,0.159,DOG
uyirjwzabc,-449,Dog
507,0.371,cAt
pdkkotwsfz,uczvhvvyfs,dOG
doG,jcmcorijlw,CaT
aokvvebkde,0.399,CAT
0.056,jwlaqizypp,CaT
0.2635,lpubftlymv,CAt
giowbnemzr,-0.018,DOG
DOg,476,Dog
bawrpccmdz,461,dOg
-389,dOG,CAT
-0.208,pixmewvpxv,DOG
-15,253,dOG
-0.259,-0.344,mpqcizirfz
-503,dOG,Cat
340,-0.483,-282
nfiuefnzmp,227,CAT
-0.0525,0.2775,cAT
436,-0.3575,caT
738,-250,Dog
rklzatcuny,0.201,doG
yorurplhai,-0.001,Dog
