zowpikpxjp,ogtulxfvck,hzkodrytxv,vejivobbxg,ppiqhvxspf,igjgsuguut
sirkzwvplh,701,213,-191,0.3625,xvroafzuzy
tkzryaaphr,24,-0.0915,0.265,786,872
cat,utnwhkowac,-0.1095,hpstzlnkmk,xxbdhiokpg,miknuduspp
0.2295,0.002,-0.083,scyxyscshu,-649,nfaykptkmg
0.2125,-169,731,327,caT,868
yidysilhpb,wnmadbgycs,0.411,wwwenkusdo,0.3305,-0.067
CAt,459,683,DOg,xahkghkgiy,CAT
dOg,nrdebgwvsa,0.2865,48,Cat,cAT
387,-960,DOG,-0.255,-368,0.297
wgvjttwyrt,-0.137,Cat,448,-466,0.4565
978,qlguzzmvmv,cAt,0.008,sbluqzllwl,317
dOg,ncqfgacpli,-205,-237,hfzugutzet,-0.0035
0.1835,CAt,mzwrdxixmb,534,eiwgtuvhlh,0.095
ejukjlpmjn,mmsntqduah,-0.2125,0.204,-650,637
-0.1945,977,tqgkpincbb,wtbnjvvezl,uiaqgowxon,-0.2115
-0.1545,0.189,0.2235,caT,doG,btjvswgdkm
-0.069,-0.119,umbzsfvpov,0.439,ynprfyejpn,378
qsmurlogoj,CAT,-796,vnqwrsnelo,wbguwdggvp,ecnwpxwyba
hjavtennut,ybpnfueqxw,twvdqddtbu,ayklzlwkrc,qzvzskrarp,-686
yaottcamzk,cat,vppseozwgc,-0.295,-0.312,-0.3515
jmexpquday,doG,meqiuouxrd,0.0275,eikhjhcvek,njlvdlouyx
oxeaqfveum,DOg,-901,-0.129,pmsvpdpvie,750
caT,806,-117,43,kjrwiejglv,-354
jhguvzciia,-688,phspcknzwo,578,214,-0.256
213,-833,-483,ymfiidqkwz,Dog,okduvfcart
0.1355,rpbfmixgjy,0.3575,cAT,-0.4775,hcoyikhhib
0.2435,216,769,hjoiparzjn,eghqylzsej,-0.252
nwpngxwgpl,430,jtzxblidsg,-0.4975,DOg,-110
-0.294,0.361,-357,-579,CAt,-511
-0.4945,gmfgxnfyky,343,-0.3215,-0.34,zajciizljf
wufrrgwjia,dog,dkyeerlbtk,0.224,-800,0.456
rdnvteuejh,0.4535,-601,-0.462,cyclcyixtt,928
0.06,0.026,-281,-0.151,emoifqydig,dgidaudimn
-0.028,zotbizjrcc,syhozcliwr,CaT,dOg,ewidczoraq
196,azneekreoc,0.094,-408,iyrqefcvmn,-0.3755
675,uixsermqub,pwnovryrge,arkaapqzak,kzjlmrjegr,wjfsecklwp
0.4225,0.211,-896,-0.09,-0.2735,mandovgjey
0.1785,cat,-0.4345,DOg,DoG,-112
