rqswgguuuh,vtsemneuyz,sfexcndvln,Pet,ynzqqommfo,babubczdks,bqqlthblgu
tbhhcbcpdh,-0.3125,dog,CAt,0.341,0.2135,523
-83,fhxqjvmlyt,970,CaT,-0.0145,-382,913
-353,CaT,ufphjrslvg,CAT,954,aximegrphy,odxkgkmfex
-0.4775,doG,nxujvfgnru,0.359,883,krmykkgeyd,jmukbecknu
333,CAT,-0.1675,caT,0.3315,dhgfkfubyq,ufymgmuakc
0.3655,-956,ewrmuzbdmz,-0.299,cgcthijkhw,-46,-144
-218,CAT,-40,DoG,-328,0.417,rgqklhgzmw
dog,867,946,dog,-0.4565,-0.4845,gxnnxdexws
-138,0.1235,41,dOg,dOG,467,dog
bqqzohlgcj,btezlmzijz,0.4775,DOG,840,-364,868
