pglgysobyg,ycnmwiihqy,kbzinghvui,itifreekoc,ilhfudfbqf,djeawbmkqk
447,wgsbpftlbv,wpxzroqymq,Cat,-756,-0.1485
-0.3715,cAt,-965,iwhlpzucfl,374,0.437
-425,cihnrfyjek,Cat,-714,0.325,xcrzjpiegb
Cat,caiavsyfrd,-0.1045,0.0945,960,-0.081
mhbotaxwhi,496,0.2475,sakvilgued,DOg,577
unjuirptxg,cAT,DOG,labccupqcw,0.4485,0.0015
627,608,-50,yuagiduokq,doG,31
dOG,sbgpzaflzh,-954,xfegokeweq,DOG,egahzffhdq
kokthhpios,pazmmgeihu,410,580,0.3185,631
vfzxafrlmk,0.3785,0.3285,CAt,134,kbnhdzmbou
fqmvpblzlg,-9,giuivvocbb,josefdirlx,-0.4215,flqpormmfn
0.052,CAT,-0.1615,-631,dOg,Cat
734,-48,ilrgpnwuhe,-0.1335,-721,-516
-187,pqjnkhrbhx,cat,-0.105,0.1445,326
CAt,-0.405,esjfkftfnq,0.3165,0.105,oqpcxhapah
vneqkbhxvc,0.4285,msgqzmfhvh,wwxlgizgap,doG,-609
obltkqlojz,-0.422,-0.465,kcevrfetrb,0.382,125
992,fzzxymgfat,dOG,0.025,-632,-0.202
922,-0.235,CAT,-968,-0.2245,fvgdvkbqux
qbljioswtt,-816,CaT,973,cAT,-267
caT,864,Cat,-0.0775,-0.474,ssbvruqfck
caT,cAt,-0.4445,153,dOG,0.304
269,-0.059,0.1285,672,-0.4355,-309
-458,dipnaqxbky,caT,-0.459,-0.3475,943
443,-876,0.0805,awnzfgujqa,cat,unexthjdfi
dOG,0.1975,-805,DoG,hhnyonmzek,-117
CAT,canbzghpal,-0.13,-0.302,0.195,0.1645
0.2455,mwrcxgehhr,cAt,ajqzbvrtvc,0.0775,obkxkhndtk
nzybvhxlve,dOg,-0.441,-0.369,0.059,-537
vaescsuvmu,Dog,-556,caT,CaT,0.462
fnlxwbyaeq,410,zazxjzrcma,-0.1355,945,0.165
0.4365,DoG,Cat,342,588,foasaavgwz
fvdudohoti,jtcvjclgmc,897,-0.4775,awsqdelovb,clvbbufwnq
673,yxbubiadlx,696,-595,ngnupkoeil,0.4585
0.1385,rdofhpilkt,303,DOG,-98,-980
999,0.3645,18,Cat,-0.0865,doG
sfsdkpzqpw,0.2995,-0.3745,doG,-0.4865,nzgtjbjwys
cAt,-643,18,-0.085,-6,-0.1555
alyehhaccr,679,-250,merxjufuln,-0.3685,muwvhffvrv
hocrnoblng,-0.0025,0.2805,-0.291,zubhaownrt,gtigrnaffl
449,-513,aecprmwcyv,685,dog,-0.465
673,kohfjuljfz,seimlmslcu,dOg,DoG,plqxqctypq
-0.237,rbgseibrty,855,dOG,DoG,-0.1535
-0.2255,0.411,zmwrnayoea,0.45,715,DoG
brmqwbzzvp,iuorbgxgft,-0.1885,0.3255,dog,DoG
-799,-0.4385,-0.2955,0.3475,-0.235,-0.073
264,368,-709,-376,-899,-931
-316,-0.0875,DOG,-0.223,-0.372,gharzsfdgx
