PeT,wacpeenufk,hjpkxdvhjl,ucxntttdlm,tsslsfaybf,qbazqjmdtw
-138,rzuosmlsmd,332,-0.0465,-0.0015,654
dOg,iwdxsdlnur,851,pxqkvngyhx,caT,DOg
0.299,tbcncatrmw,458,815,cAt,CaT
cAT,DOG,0.2075,gknnsnaauk,-0.367,-119
0.2545,252,rddcgvjres,doG,-0.41,0.498
cAT,CAT,933,-0.1155,dmjaorrryh,-247
614,cAT,-893,-0.4515,glpzqsjqqx,-359
Dog,kqhrazdwxd,yprlisohqr,0.2065,465,qjxchgctgq
CaT,kvuaoyksho,-0.1015,-0.288,ihzvihlyte,-120
-577,-0.4215,-8,cat,0.287,gaywmggijq
DOg,gajxcznpwy,721,qnxnqdpyrx,-519,0.4175
0.005,-990,138,cat,dcblwldrcd,cAt
cAt,cat,njvwqiujbc,cAt,epncgrlumy,njomxaekpm
-0.2925,rlslbzftar,0.101,-246,0.4,-924
cat,syicijuxcf,dog,dog,kcdxpsscmo,egnfcblnzk
DoG,-0.0955,-859,vumewqdicq,0.034,-775
DoG,-383,0.052,iejmrhuhbp,caT,969
684,CAt,72,-760,cAt,0.085
cat,0.082,dog,oafokvrmfv,-0.351,199
0.0845,Dog,-0.4015,cxcrijtxxi,-0.328,-936
99,0.4745,-0.2475,0.1505,CaT,vysmdlfqdi
822,cAT,0.359,-0.047,0.215,154
CAt,-0.1625,dOG,ajjuwmdvpi,CaT,crtywrubqt
cAt,137,CAt,svcamcdfcr,-27,0.4525
-0.4505,-190,CAt,0.131,567,-337
caT,0.381,nokynxufii,-0.492,DOg,pxnbhxqwtw
-0.068,0.3965,996,0.358,cat,290
dog,rqzhxtwfss,xcorszuxhs,854,0.312,0.4605
-0.4725,0.452,-0.4145,-0.3695,acgomwxduo,-0.049
CAt,caT,-0.443,-0.0225,-786,irafcuuygw
dOG,cAt,706,qdsxnuaqvj,856,qcqpqqmlyh
CaT,0.3145,596,cat,enjflomjsq,386
Dog,Dog,kamcjcphcx,0.3545,sgywrqntnj,315
cAT,uukpuptmdx,-0.015,0.4655,-0.4325,0.3815
CAt,gqluydhesa,993,gbqxpzduol,uzguyzzwwo,-514
dOG,jqajzvvugu,-680,wrjauxamdj,-0.3905,-0.002
cAT,0.4955,jnenkclwxh,0.0815,CaT,-0.398
86,xiewjlcmvg,902,grmsyfhlzn,153,0.3685
cat,-0.2835,0.468,uvftdvtbfa,0.228,joglqbdnel
DoG,-0.099,655,gtgkvkzznu,-200,0.423
CaT,DoG,-0.155,76,380,kkeftqpgum
0.4485,0.481,jaewmlravo,Dog,-0.407,-328
Dog,0.4675,0.064,-0.3925,-0.0305,-152
caT,CAt,DoG,csdztdahjr,fkkpxekinj,DOG
amtskesrpa,0.3555,uhztppaukh,0.089,bdycteyvcf,0.202
cat,0.2085,-797,-0.099,xdjiyomlll,301
0.2675,ekjijytdas,0.361,0.2935,qoxigboucu,-0.2085
Dog,-0.43,Dog,-0.199,wahwpbapfj,0.0675
caT,vnfdfossmg,fskruflocb,pgoanibywq,dOG,314
cAT,957,DOG,0.3215,doG,snkcirvlps
cAt,-0.231,0.488,doG,219,cAt
Cat,755,CAT,cgreutcuyk,jxermxbzuv,tlcoehrvqf
Cat,dOg,-0.3795,568,0.2525,-0.0025
Dog,0.393,kvwntqfzmc,vjadtsdrmv,mjakuukexm,apfkxoeksy
cAt,-308,709,-0.2505,qjhwmkytrw,479
-0.328,DoG,ibkdykywaj,0.225,DOG,jhdlgqvkrg
0.191,pebeeozian,-364,-0.0245,-844,CAt
-0.381,DoG,kgtciaplkl,kqbktmehlk,eaerwbjafe,fhyxrfaepw
doG,-572,-768,616,0.1495,0.059
nhhuwsnxra,-230,wcmcpamfge,-0.17,0.1025,dOg
gucgvqvcyh,-764,0.3165,DoG,xvwmkzhzqb,950
cAt,eztocurfkq,-0.4625,0.2065,0.0975,cAt
knuqdnsjto,0.071,751,-0.4635,-27,-325
Cat,xflbounroe,-0.253,dog,0.337,525
aeusekzijo,-0.4835,-945,-851,tkiqjqwjna,521
ilsyzgupxk,fzfyxwmngm,moaivtpfbi,-0.383,-75,855
dog,-0.0775,dog,-44,DOg,-308
0.2865,0.0985,561,cAt,fwqoycxnti,661
