fbxtdhxeeo,khlfwjttxb,kpfkokqslv,uvmduvpkzs,qlbcbbhlax,cexypzmagx,shbefmszxb
CAt,DOG,0.2485,-862,Cat,-0.486,0.488
0.01,jdunhdrxvd,hylylzjpea,adkggetlal,-0.4585,DOG,koendsoivh
yxwkjpqoav,0.353,0.0415,497,718,0.064,oywoajaugl
-0.279,-0.393,DOG,dOg,-878,-189,dOG
874,-0.008,-0.3395,-0.2235,-0.2055,0.0695,-915
-869,602,jckfaqxvui,-461,DOG,0.0735,-951
-0.1945,kzmuvfluik,qbfdqivmqr,dvmiscvvkw,DoG,44,0.353
0.496,CAt,dtvaokapps,-303,dxfjhkxmwv,DOg,CaT
0.1185,hkzhmtkrne,0.087,176,hqwcxxvzji,-0.3775,-463
-0.211,-0.0925,-0.3645,letyzjwobq,947,hxxsbmxwqv,681
25,-43,-0.125,mjhsymbnip,CaT,454,sxqceedqlf
mtvcnvdtux,cat,dOG,712,-0.0045,0.036,ukgeessclz
-0.2605,-348,cAT,-0.298,0.4905,576,epfeovrjba
jhygerhycz,vcvoizuzun,673,rkutsphtqp,fenbddgrpn,-769,sdbclqqulh
xgaroycukk,122,0.3705,ulawdzfaur,pysamdhbsh,cAt,cat
gatwmgpdrd,CaT,-315,gxmuappsge,-0.3915,dxelsomqgn,-481
Cat,wfqoqapjnz,uskfyiyppt,CaT,-0.3235,0.3375,vyhmfxmeaj
rfmwynymlh,ltholauzoz,dOg,0.1675,doG,-473,85
-500,doG,DOg,Cat,CAt,owqwabtamh,-930
-0.1915,-0.11,CaT,-0.3145,dog,cAT,cAt
-411,dOG,fsgtrigizl,rgvosjgxex,-894,598,povtvdoqvi
xxkadrqhhu,wzkoyjuehy,cglrzibbhz,916,-751,fnsqzqzuna,-639
0.384,nirvxwdekg,doG,aouyfzsosi,0.3785,caT,0.0515
183,doG,mczmxgylqz,duajgktmcf,336,0.165,ybbslizhcl
-328,jodoxzxejp,497,-0.001,297,172,dnglfvjcii
938,0.1015,fpcbovexne,cpyfixlkyd,mkqstkxmgn,tcgpmgrwrs,-150
vwnircjqgq,936,-0.021,778,0.0895,Cat,0.491
ligtvaaowh,0.496,CAt,doG,-228,0.4215,-418
DoG,-0.349,-385,0.3655,-0.015,ylgkfwhhvv,0.3385
-0.191,-150,854,-519,jasczubpaf,0.0205,-913
lablbjoodx,-422,iklpcsepxe,CAT,Cat,0.03,-488
-0.2545,cakxntfpfo,DOg,-0.335,-524,0.2225,tmshzqljeh
-370,hlxstefyvz,-135,-756,596,0.401,ssdlzytscx
wcphbqvzmz,585,-129,imgiifqugc,0.4385,wrsqdrtmkq,304
0.4455,hltcqshyiy,-0.339,42,4,0.1615,izmhpvcsri
arduzbvaxy,395,-0.0155,-342,761,245,0.2735
-0.3685,hbhvvrvrli,-0.0885,CAT,-0.211,-432,-0.1595
cgwrwoyhes,0.0,blhrzdouuh,0.155,0.41,0.408,dog
