unjdhcknni,ifeukhzuzq,hmuuhgmfjj
-0.2045,fvsmmrzazg,dOG
770,cAt,zrhoggfwzw
-925,402,-840
imtzabwvpe,szzuihwrzk,-0.041
680,-721,billcdwdly
72,69,-222
-539,0.1635,-0.359
pvphilmyya,-0.197,-428
-0.388,xdmdksebgx,435
-0.0835,DoG,cAt
Cat,656,416
302,-394,-33
caT,lljjmwehpl,tyzbnuknfa
dOG,-0.4045,655
CaT,-0.1925,hkugdfhwna
DOg,dog,0.4655
-190,0.3025,-826
Cat,pteavehcst,-0.28
cAt,837,dovnbdsadc
-101,-0.412,dOg
nkfbhuzytf,htwngmmzqm,0.281
-0.3485,-0.32,553
0.3805,Dog,-0.346
bufomidled,-0.1685,-0.281
vsbnkwxlfz,fotwrqonmw,-0.173
-0.399,cat,DOG
wnwuzvksib,qmhlqcacnl,-12
-523,552,wkgjbepvpz
-784,akkuutwcdm,132
uarynagupu,caT,mtyceedkfd
-0.485,-411,nwgshduhhv
fmqieezucm,24,141
-472,0.14,DoG
Dog,raentvzbft,ligliidets
DoG,0.413,CAT
0.1455,173,96
-420,idemidjnhc,dog
-604,-592,-0.203
0.3875,kwadgsctzq,-0.104
-0.4595,dOG,wkvjxthjdc
-0.4565,902,trpirjufim
0.05,-537,0.0335
-101,-126,CAT
-376,-0.4785,-211
6,-0.2935,0.4945
-239,-817,vvwnwdpoef
wwquhklmej,-0.1655,choirtsvwo
