xgayaqigfk,zwvulnalxm,PEt,qynvxnrfzk,grobnefhfo,jkgqgjmvnj
avopywjbkq,-0.201,Cat,0.4855,0.024,khifrnwbes
-0.103,cat,DOG,0.176,415,0.3685
-933,-0.1835,DoG,0.106,tbujjyjzye,0.1855
-810,xhldplvjuo,CAt,vwbwevwpnv,-745,isrrqvtbhv
0.2725,-0.1195,doG,lvxfjygunv,-0.1795,139
gwdnokejsd,-146,DoG,0.022,ofarhdmuhs,CAt
-0.3805,680,dog,-374,910,-274
ddqdubjvna,wgtfthfjfg,0.012,Dog,ibsxwiwyss,-355
DoG,315,Cat,vzsevzieoc,-0.2775,cAT
0.241,-0.1545,cAt,0.449,skrrqjnher,hnxydwzfag
-163,hobvnkpvrb,Cat,-0.0105,0.2875,-418
956,-0.3865,dOG,rchliqwsuw,766,rdaunoeujr
CAT,CaT,dOg,445,-0.239,-971
-0.071,doG,lcdvagkfvf,-800,caT,-0.109
0.2965,uzegghcanx,cAt,vizzgzngkb,0.061,xrqnfraqgf
0.233,caT,Dog,-0.0475,CAt,-0.316
-390,-228,329,-81,ijghniqbxv,-289
bflunqekqy,0.251,cAT,-0.454,llnjhridas,scmyauhyhk
713,-318,gqfpqwrvzw,377,980,-976
399,-7,DOg,viznfnzqng,yelbrapgjt,445
Cat,-963,dOG,177,cipwoxmfuq,-0.3235
-704,0.207,cAT,-0.404,0.1225,-0.151
CAt,dOG,0.35,745,0.065,gmqyygeaxn
-633,-158,CaT,jvabkygllm,260,-33
cAt,-598,Dog,-0.386,0.1265,0.393
DOg,CAt,CAt,-784,-487,0.281
-417,-0.301,DOg,0.001,-0.192,-872
-943,cat,DOg,-662,-466,knzxuzggbt
0.4635,-0.0885,caT,irtgozwudt,mffqbdqcpu,-751
woacpbkquy,cAT,cAT,0.39,CaT,cAt
0.353,xtoqmnohow,DOG,DOg,-0.155,-0.1115
337,0.4245,dOg,0.2065,-0.4085,-247
-994,CAt,cAT,281,cAt,DOG
CAT,0.4835,dOg,-0.2715,rqftgtobdx,fcvkkrmvei
wmzajrhxkt,-0.209,Dog,shpjilfpmq,91,dOG
-0.453,lozcanjckv,rvkextatbm,DoG,516,-563
0.092,DoG,CAT,0.1545,-0.046,dog
458,-403,-225,-746,-882,-0.338
ieyiawnzqx,-0.493,dog,bnyducpzct,gfvtbvklno,-0.039
cfocggfers,xfqemmsjbs,doG,-0.0695,-551,Cat
cat,cxzklgyufr,CAt,CAt,-0.282,quesadcgeu
-0.023,0.0055,0.095,-535,fmpxypkaxl,Dog
0.427,0.1445,48,dOG,-0.3515,caT
dOg,653,bexluwbevv,-889,dOg,948
0.4895,-0.1095,cat,CaT,-637,-0.008
CaT,frkcinkhcw,cAT,99,zdbcdfrwai,0.0325
enbbiqkhdx,-0.222,cAt,-471,-158,0.009
qwczahoiua,0.326,trghnlunqr,Dog,tdmywjbdvb,0.397
pjzgirgtzn,409,Cat,dog,155,0.0385
-0.07,0.133,DOG,944,0.4545,Cat
524,0.125,cAt,0.283,566,doG
0.1395,119,dog,Cat,jvdnvtpaqw,539
0.4455,rymoodcxjp,Dog,cikxvydhcw,caT,760
dog,0.062,caT,-411,-765,-0.323
965,-0.041,doG,544,681,cat
-0.2685,-706,flspxjslfg,-0.3225,0.322,dbwihmwgwn
ucdxsgpnya,cat,cAT,-0.154,0.2215,DOG
-756,cpmxsnssix,CAT,jzfoebwzpz,-0.386,Dog
664,DOG,DOG,ngrwvmmgut,caT,dOg
vxzmucjiyu,0.243,cAT,cAt,-740,180
-0.4565,ixvdxqtuho,cat,-0.4555,-310,DoG
-0.4985,cat,doG,dgnpyzipam,qujjuiioen,61
-0.482,csyquisdgm,dOG,-0.1895,608,tarorkqeyz
0.322,eulesinoqj,dOG,-0.454,lqcgkfqbrb,0.267
0.1215,-0.3535,dOG,-0.285,aezbrmsfij,0.287
-294,libsbnadrl,CAt,fpsavkepvk,DoG,-323
dOG,oxdrudsgfi,DOG,cAt,ksrnsowlzs,Dog
krtwmhivpi,0.4325,-0.2865,-639,-0.1355,-0.1345
640,-716,DOg,495,caT,0.013
CAt,65,sgerphkvrt,-148,33,dOg
DOG,CAT,dOg,dOG,0.1245,-451
-900,-0.3095,DOG,-833,-962,-0.058
