jvbcoyszse,xrbmwvznxd,ojpoibudry,meczvxqkkf
0.3675,-0.429,-85,0.07
403,-0.266,0.377,838
0.054,83,-0.1105,-0.341
0.3945,0.0765,nfdpcnsaig,dOG
-0.4015,112,cat,-153
-0.0315,ljxlhiprds,-970,-461
xphmangrzz,CaT,-0.2945,dxvktafiqq
dOg,0.3605,jqondffqix,tdnztthmmu
164,0.408,70,0.41
Dog,-8,jqjdlgtiuv,yfmoxucqyf
0.3415,kewhmbvbri,234,hmvwfvvaqz
CAt,-0.081,iuugahxlgu,-0.406
japvvpdymq,tieefnnqzh,dbmpdcyhka,ozvkcrspzy
vlpimlgkhc,538,0.191,lyikmkxyry
-547,-0.1405,325,-0.413
-399,857,qteweahbbj,dOg
95,-0.0595,-621,-0.4645
-833,-31,0.289,CaT
ivkolpwoar,-0.383,879,goxzavqesd
CAT,zwechboeod,0.208,-0.058
-320,vvnvwpijhm,caT,547
307,-0.016,0.492,-604
22,-456,146,CaT
oevsqxwmsi,-0.087,970,0.0275
