peT,cktenehmpn,bxsrggotbm,cknwdhyljf
doG,-828,eiecyfggye,dnfkdbvsjz
DOG,-0.4825,Cat,0.061
cAT,-0.438,0.3585,apjxugntex
cAt,-537,ybfzrwhoui,ozjstmlxqi
ymtnilvfsg,phuwegtvfz,dog,ehjcolnjwb
dOG,-379,367,dOG
Cat,603,-755,accfaapsrn
cAt,617,-966,-922
cat,CAt,-153,-0.2345
Dog,926,285,-0.276
CAt,0.3645,nvdfprsyoe,nkkjergcaq
rxkuyyobym,0.0375,-2,bxfapyrfzk
CAT,cuqnjhuokw,983,DOG
kuwgjacdwh,991,rhewezjdnj,kqgykwcfyv
-0.2635,0.0375,0.4705,ihqbaiziur
dog,dog,675,-0.2545
DOG,dOG,kdozwnkzks,-0.191
DOg,-0.1345,882,610
caT,-0.2605,255,-0.396
CaT,0.3975,iwgpfjuoep,-760
cat,665,0.2315,0.3265
dog,ciwtspcjps,-575,jjpltwfbqu
dog,-0.3685,758,-0.09
cAT,0.2595,-0.311,kbgiidvfms
waknnyuiit,uyoxyehcjc,gyeclpvosb,894
Cat,jomjoyurlb,545,283
dOg,775,dog,cAt
DOG,-0.142,cddcupmqxa,-0.4525
302,0.0245,-659,267
Dog,wpfkyvlsun,doG,0.4005
cAT,708,437,tslxkoperr
927,0.495,pwjumzxvoe,-492
dOg,oxwwxwvnxh,-0.197,oluatbehha
cAt,0.161,Cat,885
cAT,0.438,cat,-274
-766,-0.1395,-0.0415,ppsoaozfhg
DOg,dog,-72,-264
-977,doG,0.2815,bxomlxpwzt
DOg,710,780,-339
cAt,ufxdmmpgyd,Cat,-0.3945
CaT,ljimqeozoa,0.073,228
doG,407,dgczwnjbrn,0.062
cAt,rpfremzocc,-476,0.1365
CAT,mnammdxyss,-753,-0.3585
0.1625,rimrmflieq,ftxdftdqeo,0.3135
CAt,0.2695,odrdmnijyv,leaxrzrylc
DOg,16,-0.0225,DOG
-0.3065,lyqlggrolm,dOg,493
52,-481,DoG,-0.2315
cat,153,cat,-575
CAT,-139,-0.014,-398
0.2325,fhjzfpqyve,-870,-992
cAT,0.208,-542,-708
Cat,-0.06,-0.001,0.2775
CAt,0.1945,729,-399
CAT,-0.1015,0.0045,-501
cAt,cAT,-932,cdbqvbjxtf
dOG,fnwveaeqjs,gsnytjwrdf,-410
DOg,DoG,357,0.4875
CAT,0.0065,rslefclydy,-939
CaT,0.077,dog,0.035
CaT,507,0.1025,zgndkfchll
dog,-412,-0.113,0.0015
dOG,-244,0.2155,236
0.119,DOG,-0.035,-556
caT,cAt,caT,CaT
cAT,dmyssnodgx,DOG,-0.0005
-823,CAt,ipahkutxau,ndwwjgeetz
cAT,Cat,otbrleweut,0.4755
DoG,-280,137,CAt
