epnzawsbil,ryjvagbiuv,peT,vdlssrtamr,ocbtypnbsw,picamafqgu,agctknpwgg
381,-0.145,CaT,0.0175,0.4945,-322,-871
-216,0.399,dog,-137,eqorckyobj,0.223,-0.084
pzgzseclrz,-801,CaT,ujcgzhnomu,-933,16,18
-464,0.254,cAT,-557,0.0885,0.411,-0.295
-143,cdpqadbowk,DoG,-656,nvfypgxgoq,-0.2505,-531
abwmvfmtfc,730,CAt,cAt,-147,140,doG
0.049,196,dOG,337,-902,-0.0735,yoozayicyj
0.1915,rydzoeypai,dOG,CAT,zuhnzlrwcb,0.356,DOg
-0.451,fzowzjuwqs,-820,-0.278,aibupvlnnh,doG,dog
spezkhpqrr,0.495,hmgaufpbxo,nsqtciaicu,279,865,622
dOg,uzczsimrzb,CAt,228,245,-0.424,90
nkiqtduirf,-0.4905,CAt,fjbyjvqjnn,-0.412,0.37,133
64,0.045,-0.1325,hybrjovtwm,-0.1205,DoG,0.102
dOg,0.2155,dog,0.029,dOg,umeteewbre,1
adpfheejmo,DoG,DOG,DoG,jpexkecbst,hqfgxetjkf,-90
577,-0.3735,dOG,doG,Cat,pdztyqaehu,DOG
0.4445,-396,dOG,banzvadosl,knbzssvdmh,0.135,Cat
-807,0.4505,DOG,ylyhsoqimh,-997,663,0.0425
pezddxljvl,321,dOg,536,-374,-780,caT
ewwtnfmsfr,655,0.1365,qmftgzqknl,-0.3685,xnndsjdcpt,0.471
ehupfctncm,lwhesyhykh,doG,dOg,-0.3735,-770,-56
-950,0.385,dog,954,pvburljswo,-998,0.2785
0.144,-493,dOG,-0.5,-853,lfxujzggzu,rvexidyhyt
krsnqaffwq,-390,caT,-582,-0.356,-185,0.321
hubjejdxyy,617,cAT,egodyzsiui,-0.225,-202,entlnilztg
doG,erbrknovli,dog,-0.428,-186,pywwrefdnb,-195
0.0615,ejzhcdxxik,cat,-310,375,376,0.276
nsefkgdeyb,0.006,dog,483,-586,dOg,oyovkhaxig
CaT,-652,-0.374,tcbsebxxjt,CaT,299,nbqqrbdtty
-0.105,-0.4495,CAt,cat,606,146,-432
cAT,0.0935,-0.126,0.241,0.0205,vyhccixtaw,dyawujozlz
0.4795,bzlxvodmjj,-0.327,CaT,789,-0.0955,190
gmfcoqzjdv,0.11,cAT,0.4245,CaT,reelbegecu,256
883,294,cat,-0.387,599,ybwejizzhm,vhnyhatmeu
0.4965,cAt,cgtikdjogl,0.01,-0.212,0.0575,-737
-358,-423,caT,Dog,-0.274,774,388
0.267,DOg,cqokbynzzu,cat,cAt,0.3185,CAT
pgghjzcrgs,dog,-0.0175,fmcjgyzzep,mzidsygdgz,-649,-202
-923,itfuzyihmv,DOg,Cat,uxqnwossrz,doG,cAt
0.494,-819,Dog,caT,Dog,-40,dbshdwjjvi
-1000,0.2745,-548,0.3615,-699,vokcjgfxfk,-491
