hrdpphbylo,jgddwuiozj,ucrqfcwmew,wyfxihwtrz,buvrcrersd,cvzjlwoiyt,btpwacuwev
-0.0845,vsdddnlasj,DoG,29,-0.055,-882,0.1535
-617,-554,CaT,dOG,zllgkfactz,cat,sadllwxkmu
892,lwjkyxtisc,uhomskfnsi,902,-0.4575,DoG,-0.1915
dog,eorknkhhbo,qyiqyglpom,zubhjamsmi,-0.255,cAt,0.4535
-191,0.4855,-0.2565,dOg,-0.0395,-0.293,0.158
fnxxkvzoqn,0.278,-574,CAT,519,-0.2115,bfmpicbnzf
0.3205,dOg,umtrnmkrwz,0.2795,citjyfhdke,0.293,-739
cfihopiumu,0.186,-0.341,caT,addmismjze,doG,-0.385
-0.1525,0.0875,-0.185,Cat,-0.42,899,CAt
qdllqdawpt,zpxydsqucz,0.1445,doG,-0.3245,-496,-711
enwlldxcsq,92,-847,-966,liddapygmf,dOG,0.309
0.3105,0.038,-0.321,zcskkovkoq,-0.3315,-0.462,gvoaqlryur
-861,0.35,-0.1165,Cat,-593,-956,-0.0485
asiujpvmkr,-0.464,DOG,-0.3895,0.1145,CaT,742
rkrulpnysd,-932,-0.275,0.3975,0.11,175,cAt
0.445,btjcihwbxr,0.326,-447,owiqacieau,0.186,-882
-799,-0.013,-862,trqazdbqxx,0.411,-807,fmhlkjwegg
560,ptvzhlgfyy,CAt,ypzktamfia,cAT,-0.094,-0.237
juohqvlhgs,-0.2285,0.092,0.2795,dnoljopyzw,-289,4
480,0.2675,101,378,cAT,300,doG
ugkbalcojs,549,0.281,feakzdetks,amjbwkoqeg,dzqojfknjq,-0.157
-30,-170,dog,tlkcgnbfxd,-149,-0.14,-516
0.083,mlddovmnva,264,CaT,-0.209,315,rzxmxassve
dog,0.4005,0.1865,nmuwpjmwbj,ckfsdqwqqo,-0.161,365
jycjlepjco,-0.086,-0.1515,dOG,-151,-479,wpsyhzdsjp
grvmsolyph,0.4555,-273,0.419,-0.2225,CAT,0.422
0.4085,-48,-0.0485,oijbujcdqr,caT,soyxzephja,-0.3025
nvqtighhlq,745,-0.349,Dog,544,czdrpgixon,Cat
414,0.3815,78,pfoyvvmrei,hhtrzczehj,Dog,unuhvvylrp
-416,cat,-659,0.3915,vbwqreuwaj,Cat,644
-969,qbvcrfmlzu,-0.1755,Cat,scgbdribla,yumgbjamxl,cat
DOg,qaxyjkfdcu,0.0715,-0.257,ltdrbdsyyg,tgjsdgbeit,cllclzhqmx
-0.215,cAT,-576,zpuocjqrlp,666,-3,-359
uaanypmwvf,-651,-64,0.185,0.4085,DoG,-835
DOG,CaT,800,Cat,475,pabvokuscj,caT
45,wwbzfousur,0.272,-0.4375,jdmzqndidh,bptxrnjzyo,-0.4465
wgdowakplx,0.3375,Dog,62,dOg,tbapdfparl,0.0325
admeigsiba,wayjhrveya,-0.408,-0.2705,0.3145,zdzgmkvxuk,cAt
dkndyqqroa,dOg,hrufrraxyc,tddnfssjco,qqhvyldaav,caT,wiamsunjdm
DoG,852,cffxeuioib,350,-21,-0.3085,-959
rnpdtlpmhn,zqbitxbadf,cAT,-0.2685,-0.3355,-0.103,0.4995
-434,0.4125,-0.424,108,bnlxausyvh,omwsajmunn,144
nupujvgmnq,-191,-751,cat,cat,-7,-630
-0.2705,vpmyuzykic,zuzgdtkhkl,-0.0015,CaT,663,-399
CAT,-0.4065,0.2085,65,ildxgcczoc,214,840
0.2905,rbmupuelkk,dog,DOG,721,cAt,tgxxqjftzj
0.1135,deqpaufvii,381,tmvpuvdjww,ilmexhvkiu,CaT,cAT
-232,lzmurvwqwj,beqgnwejok,-134,-153,-533,cAt
zhsaivnncm,Cat,175,vqzdzjrpsb,-183,-0.2585,nvidddwurj
725,DOg,DOG,0.1275,942,-0.1905,pokpwtrclh
uolgoxzmfv,CAT,fpehwxrbxr,-0.3235,0.464,-362,0.354
267,-0.309,tsigyijluq,-362,-851,0.3615,0.259
977,930,0.2945,607,-0.263,fsxkfmabje,dog
DoG,nzkhzgtisj,ogcidnxcfs,-290,riabpkuwde,402,302
0.466,gilzlyopyk,-0.0265,wrvorrjmke,0.1235,abwrlgbvos,cAT
quildtxolr,DOG,601,-538,-0.229,-160,-12
ehckumqijx,0.3805,622,0.318,-0.054,miadqluora,0.0155
wbdlrqdihx,321,424,371,-194,cAT,-0.496
bvmvcgfzip,0.3185,-957,-373,fpzjtrmfyw,-0.159,-827
mtevjvzdtv,-0.492,-911,670,-0.403,0.0745,jktajkcskx
0.243,0.031,kfmseesypl,jngvpxhskm,0.303,-274,CAt
0.06,-868,-415,-0.369,cAt,-768,DOg
671,-393,410,DOg,-650,304,iaikhsacmk
dhwwijnbdt,-571,xkgokhbwvb,CAT,CAT,-0.4235,vqnbukplvc
-0.2955,-95,pgwkxgyjph,ofxlskztat,-775,0.3295,CAt
dOg,-167,DOg,-349,rrakkqzucq,0.355,-287
89,zdlldwhppr,DoG,-101,623,teulfncgde,-303
-0.2055,-847,CaT,123,DoG,fhvadhiauy,ozlgctvqwr
DOG,0.1665,mkbfrzkbxt,714,Dog,-0.178,458
gdgdpioqyc,258,-0.1275,ohouwzrxea,DoG,0.284,DOg
744,cAT,-827,245,CAT,erbhcuzocs,-810
-0.4405,157,0.4415,762,-684,790,dOg
DoG,536,yggrmbguze,hvpfhziwsw,-354,0.0365,504
30,ysblytvjks,-112,-0.4695,482,jccubzvstp,0.0995
0.0445,-569,jitievzhpf,donqiikcmz,Cat,isvsmmsidi,0.376
