iqjugvbblu,uzffanwdck,gtzrtwcyfh
-0.311,-620,-0.3315
-264,0.186,hjsqucgqvy
mzafbcnwnq,ymbutkmnzj,bmjfsgzhyi
-0.1175,nonhzdmmgx,0.063
-432,875,ycpusxihvg
DoG,dog,0.028
yfcailafbx,-443,-458
58,caT,0.4165
lpvyiwflpc,96,wwgpcntksp
Cat,wqcvnnmpen,0.161
ieoaopmaar,doG,paetfaiuzc
ckuxkoiijo,686,681
huyrfzqooy,DoG,641
qjsbpwuavl,0.4385,-0.4345
-943,-600,776
qtpeyktpec,hyfbzhqxyf,0.184
326,DoG,-708
476,cat,-451
-494,-700,caT
tsesrwompr,-794,-549
CAt,-0.0475,CAT
qwymetvkwt,dOg,-0.2415
ukwxbupqov,cAT,DOg
782,637,pxlwnzxvtk
