aalubulqdn,vpetusbfqv,zmetbadmnw,vsywhmjvzn
yrjhucgril,iarrxgihjw,-0.0985,-0.417
-0.28,-228,DOG,vrchlxnkkv
0.2915,cgnkvtrcik,0.0785,0.3735
cAt,-727,0.426,DOg
diftpmzroy,440,rbrseasizy,-215
scswazfrly,0.0445,vbdsvcaidy,827
CAT,-983,-976,mmqmjiumwk
yfyfntqdtn,dwjfajcjtq,0.208,0.2945
iarpkyzthd,rizozpjouj,0.077,DOG
-0.1985,-323,ldizurbswz,-0.1955
-0.46,DoG,tagzviypkk,-0.0675
-0.046,ttkkinbntj,rrqdoavnod,vfucbaqsui
0.135,cAT,DOG,-0.347
-412,Dog,-485,-0.308
0.0035,0.4615,dOG,updzvxrkiz
dog,727,fosbxfhgmf,-943
0.3005,meoqgxvaym,wvqwzyskiw,0.2265
212,676,deorsuljbt,-0.0375
kcztkjural,caT,60,0.348
lgwopzhvzr,582,-0.376,942
0.475,keunfcbbha,drychdyjab,-0.4405
adbcchzsey,-427,ouygyposjo,868
171,113,-192,-315
caT,mdsonwpixw,doG,341
doG,Dog,oeznizswrz,Cat
0.4845,0.1575,vwtzbjsxvp,wnettefuxw
25,-649,-349,-767
DoG,DoG,-847,-0.474
gotpanwrcf,lnettfestw,-0.049,-905
dOg,-0.161,287,-172
-479,108,-0.044,185
ukizmegsyw,789,bhevuxvhik,0.338
-0.058,-0.116,zvsmifbkek,ultwrttipk
-0.1245,eozroyvlpu,0.3815,-0.4365
dog,jynrlpqdrb,aptktuccha,28
eevlebaclz,73,wbhlcyxxsj,852
xcnvxtxlvq,jxwzkynxnr,ebhabhchnp,665
892,bohogvhkzg,awfcqwbvpo,ursollbsvx
lxommvnhtx,ayzwsuwnse,-109,-0.296
0.206,Cat,DoG,-930
umanrlppwj,cybrvibhez,wntmcpxuau,dOG
hdpgntvcgx,234,ikplmgojxa,sduvycqqsw
yuovosrmno,mlpmtxgaji,caT,fhktycvkgk
0.2565,-0.483,0.337,twocdescra
192,dkcexokbzz,CAt,-838
0.2865,-0.1965,0.3065,646
qjrawilexv,cAT,643,308
437,0.29,-0.0045,-71
-0.469,40,-82,0.419
-0.1715,999,-0.1935,jqqlkfpkmx
pjoomclifc,441,-0.2235,CAT
issmruutku,0.2635,0.483,315
341,-292,48,0.2685
956,oqnxgyohdf,-0.41,-0.4265
872,230,zticqtvstw,52
911,doG,907,0.117
CAT,635,0.182,316
cuilsixzpq,dOG,usbqzovben,CAt
doG,tuthecikjm,dcrsriofsq,xnisizwkiw
-0.152,-644,-0.0295,-0.4685
964,-0.4915,513,-0.48
apuqkbabwd,0.062,0.388,onqdfktaoy
ykcizaykum,eucuptzhny,dog,-401
nqqlnapnxb,23,-922,0.0715
-0.058,ozzfqwgodl,dOg,-896
dnoleszplo,DoG,697,957
dOg,DOg,0.085,fbunvlbrau
cxanvehduf,-54,-0.1585,-489
Dog,-659,ltrxqchowe,DOG
ggckyamqsy,620,mopvozlhka,qnihxapvyj
-0.3655,0.3545,lgypwdxwxp,-890
onebyhoibp,0.319,-522,cAT
mnuewuqkbi,doG,skjvkmoiql,swywlyprib
-337,-536,0.0375,Cat
0.1365,DOg,-0.4385,hanzfhnvqz
-370,dOg,-237,0.3585
0.442,124,-827,dOG
dbgkyaxvni,-0.282,-900,bbfslcvimm
CAT,-715,-0.1555,DoG
0.1515,842,igtijidjhc,DOG
685,-50,-983,-399
845,446,458,309
0.438,181,cAT,kimbwrjzvi
-239,idqhhqghlr,-0.1185,CAt
0.497,-381,9,-0.359
-317,cat,mkogdznetd,wdwbeijojx
-0.1185,0.4025,-0.143,-709
ayadxyjrcm,tvemujvmde,DOg,-258
geppfnbmlc,byyaznkvbp,0.476,Dog
-173,-757,-67,0.053
DoG,-0.4605,mygmmvgtoa,cspndklycu
-0.4085,CAt,-0.3195,dOG
0.376,601,-232,0.208
DoG,-0.3935,0.175,-0.3825
