mamqzquxox,cwcvaeyyrb,PeT,jshmkuqcnz,gksvfqyvto
wtpztgbxki,0.4415,dog,-0.177,dOg
0.393,-292,CaT,-164,-40
tvlwsqhznw,doG,-5,lbotgsxxgr,hndsuabvky
ppnjbgivby,-0.1215,0.3865,-0.484,-507
xmwhrjibyr,0.095,cat,-942,ifsxvzlltr
-0.2055,689,qnosfhiype,fgkfnkyaay,lagqbthmkw
-0.3875,agehfwhryu,-179,530,zbrafjdrmn
669,bvegikjomp,exahghachf,tblkatnoxm,rwmvzjfsev
0.029,-720,Dog,-54,cAT
-598,Dog,-133,0.3055,rfalwdmnkr
-0.478,-371,-892,-0.2935,743
-0.499,Dog,cAT,atoztpqypz,DoG
-50,fgrqlbtmvd,cAT,-849,634
togscejtfp,0.3665,ylyziijcyn,seatcbiwcp,dOg
doG,-0.0025,DOG,-141,dOG
-398,0.485,dog,Dog,caT
bwozaqphnm,mzkzawllnt,0.104,cAT,-62
DOG,zekyexftyx,dog,eblmlmfush,0.1515
222,DoG,Dog,-741,0.159
