xbuowxmhdf,tafgjnlbnr,tjvvfqhhbz
-0.378,979,264
xushltnvkn,-0.228,0.456
caT,-474,643
mkfmwrkeag,rnwpwyvade,mvxadcegqw
83,ivsylocsbd,-53
0.2395,986,DoG
0.4095,-498,fjhaoyqqkn
Dog,-0.1575,0.151
-0.4105,0.155,197
-0.426,0.4515,caT
-74,0.415,0.1515
dOg,hgmiifdcgt,-0.422
cat,zpgjibwdvs,runmymfvcl
ouchgvlqrf,zjnpuuanmx,-0.0215
0.172,-110,-129
pcxrlafclw,-265,dog
cAT,-916,-999
0.084,mbgonrtzyj,rkxnsyofhy
CAT,-885,0.316
-657,-0.443,683
-0.355,ygbodrwkzx,-717
398,-0.1315,-690
-0.394,Cat,dog
caT,cat,doG
-701,361,-694
132,xizcwrzuik,-939
-273,tcrnimsvjp,empmbhppod
ogmxampqcm,837,69
0.292,-882,cynibrvzqo
0.49,twmniedtvj,0.1595
0.144,xfdigagwka,-0.3425
0.4205,744,rlzupptcah
ssxejzefye,0.1435,-128
cmtawbxkfc,Dog,jsitfsrlup
hzjlqrwkje,jmofongfjm,0.3945
0.4995,-759,CAT
qhxaifnlyh,-0.0055,-0.004
-0.128,0.166,-952
-567,lyxeftfpbh,-900
-0.408,btumbbeowh,-0.026
-0.279,hmuhiwanry,-0.08
-350,sngxerdtzz,140
205,dog,0.4765
tejkriliej,-0.49,0.1275
CAT,0.0025,0.3515
-0.4925,Cat,-753
0.115,doG,caT
-709,DOG,0.004
648,494,Cat
CAT,nbeyurgdsa,630
0.3565,zofrkuccml,-410
emivfuiyze,-0.4045,0.045
cAt,Dog,120
tjqlqwmbzn,0.349,0.343
DOg,-0.379,spoflexrgp
-0.0915,-445,CaT
soijbybcjo,CAT,-0.27
zgsmtotobr,-0.0815,nurpflakjn
-0.2295,-989,14
0.117,dwucpswasi,msfiwbasvy
doG,dog,324
ycbnufmuts,398,rgadzwvrsi
dOG,48,-0.4775
gwkotsmxzj,-682,25
CAT,0.0795,80
-608,0.0955,574
641,dOG,-0.1875
-0.405,-554,0.2855
dcdocdaqej,CAT,786
-0.279,0.071,-18
