ibguabreba,xvemamqzoy,zjaedzzrbr,PEt,zixdwajagp
0.0315,qqafajgswb,-611,doG,-0.1695
-0.2275,0.2495,0.2235,CaT,lgeqdukzqi
-963,-68,urillsfgcu,CAt,0.229
xmopbtqtgj,-76,-0.36,-594,-0.104
doG,852,-0.468,caT,pppvvddeep
fqszaxvfpl,0.051,-0.005,doG,-176
rfgtdcnvca,-240,cAT,CaT,dqjkpuggbo
dog,0.425,-206,doG,rziqhcfgam
229,-925,ydbnvtjzjq,-0.477,ntgbuoqegj
CaT,ftxtsezmms,0.2325,hduufkajwy,-0.011
0.49,686,-0.452,shhiddthax,-0.1585
cAt,-168,518,cat,204
932,caT,afmwmondog,728,ijbxwmqdgf
-904,-0.0285,CAt,-690,azzaprfruw
dOG,0.3075,-0.383,cat,0.355
cAT,554,-988,DoG,DOG
cAt,0.4455,cAt,dOg,0.3965
DoG,-0.416,ylykgtdicv,-0.1685,Dog
CAT,-0.0365,0.2245,CAT,-0.178
-0.347,hxqzhlsykq,-0.1855,CAt,-525
0.169,621,-12,CAt,335
0.05,nzrofvsbjv,htojmswgqo,tzamfenizi,Dog
