wcmwemjbra,spczerrfaj,nmhioqbhux,sstepynfls,dxtrhfwpoc,zzsphqkilc
-288,jfnoogbsab,calvyaayjj,doG,-236,-776
-0.012,-483,0.3615,-494,-0.327,376
-753,557,mrytsrcbgs,0.3465,0.083,-907
0.295,846,yeeqyvsyhh,qdbhahroul,0.193,0.1285
0.1235,avpxlnyfsz,-61,Dog,-0.017,0.316
-294,cjajcwvlbl,dOG,qmsqngjgbc,Dog,543
ykarmwoikz,-790,thvfkztlod,36,0.281,lxaksakzhs
beosclgpxz,afckmceiix,0.123,ahfrbffkng,-0.2585,xfjhcezbzn
459,wurenlppzv,dog,710,tlkbhbswjy,-307
dog,-400,0.371,jxnqhyjfse,-351,-729
-99,-0.184,-396,DOG,176,-682
dOG,-895,Dog,Dog,cAt,zyarzjxbse
560,-0.348,0.236,tqlqvcepso,660,-0.429
eydaygwgcw,-0.349,404,-74,wawrvmrvtr,dOG
-695,shiabofnqg,242,0.327,Dog,0.1375
0.3705,suicwsovgi,-513,fqmhtxyejb,0.047,CAt
dOG,0.4965,dOG,oiuzxwqchn,CAt,839
CAt,-173,-0.2205,-512,vguplsbkvv,doG
nnvbfrqpzg,316,0.398,396,-423,tkcmbuyeuu
jujjlxlfdi,206,541,CAT,-0.4365,-35
-335,565,rnthfoczgj,-642,ycgtkubehu,104
cat,-0.1845,-0.1765,-452,CAT,90
tloztciycq,-0.129,kmuojsqyxg,ixcfijedcn,0.2475,99
637,-0.129,-464,-0.3345,2,-981
DoG,-595,gajukmnsvl,0.19,-0.383,laxvomtqub
-550,-115,cat,-0.35,Cat,258
DOG,xfbgypvvof,kodniadpyi,273,fxstjfqwua,682
356,-0.0975,-475,dog,0.2045,883
zpcuuydvee,ewjhyftzoy,-0.4515,-875,DOg,-524
-0.2835,Dog,itgouwfsnv,eppaydfzwe,835,139
-573,yqblvdrmvc,799,-0.1205,542,omaaycfdhw
uhzuzcryjg,qhisuruhnn,hicxhmgokj,-664,uxswoywqqa,-0.332
CAT,0.319,0.383,ootbdpgzcs,cAT,vjccetlhyt
0.1655,dOG,0.2015,-0.0395,-810,DOG
vavvmoiifh,0.2235,278,-24,-0.4955,0.333
640,xtombsllmg,CAt,16,nionxrqobf,155
doG,-0.1665,dOg,afapxkkwjk,-178,971
0.367,-0.2725,gkswaievcx,164,-393,246
-0.1945,axcsuoptff,-170,-0.1915,-0.3515,632
990,0.4325,0.3525,dgruynqssb,vpipkeocxi,482
cat,-0.287,700,0.083,-2,731
657,klgqthqiez,-0.326,kfvuyqnjmt,dOg,0.2075
guttzkrbve,0.3755,cat,Dog,132,yojifkbiyc
-524,79,CAt,-0.1545,0.2295,-502
910,-0.2085,-391,-0.027,lsvxogsxxg,-0.421
CAT,-930,0.347,141,xnyhbtisfg,DOg
DoG,doG,649,DOG,doG,9
0.262,-340,xvmguwkazz,Cat,olixqwffgq,lgpljgtpdf
-64,-0.378,222,176,-73,-0.288
0.3645,-917,-193,oqznngwpaz,517,hzswgaiuce
0.3705,-0.0955,968,tulqprzkfh,-0.261,-896
tmcrjtsphh,dvbajfbrdi,0.1835,DoG,-0.0815,0.1435
caT,CAT,Cat,-0.247,-0.3275,0.4885
wpovuvqzrl,-401,-0.306,-0.1085,afpllgrogl,-0.2355
-0.1695,-961,-0.207,DOg,-0.0275,cAT
-0.0635,pznhqbrhgb,-788,klxwesvjhb,elhpnzzyws,0.0515
-0.1755,-0.0835,0.112,-0.1775,hgychwlfwp,dOg
758,0.384,dOG,dOg,tvomsryfsu,126
CAT,dog,pewwiewykd,quairieuqa,lmqugdbdfv,-0.2135
-0.4135,cAt,abewwjzhiv,dOg,zancdompbl,-55
