gxyepcubpe,zsxhdurnda,fsymaazpao,ahqzykrdqj,xznjezwxwk,jjhpvzokdj,vphhcjngza
fetswxhftm,0.4735,0.237,431,-578,0.0615,-940
0.113,0.3845,ipfhdbktkm,439,-947,sqwozatqrx,531
byoihddjrc,-206,-920,-0.2745,185,497,doG
caT,0.4505,0.38,-833,DOG,0.279,-0.1535
yrujbupsor,0.247,0.4985,601,edqscgzhgf,ygnsulddpa,-0.4705
0.262,848,uljzqnkwcm,0.2185,-0.467,brcbvmriab,iyclooxhht
pvwtuhxlxr,mqyjypiyzi,613,hyqdgguzum,-29,716,-0.0975
-0.2805,rtaotddmfi,-490,0.48,wviljhxknu,-828,539
spfuismjpx,-0.4565,uoqnmjmtoq,1000,CAt,145,cAt
-332,-630,Dog,-0.079,-0.399,-0.4005,cqcbcdrwuw
0.0545,-0.401,azymvugtdv,0.094,0.134,huptjtpolm,-0.0595
-26,nlqkwrxkvc,khiyibkszf,-0.1055,0.4595,60,ksjuderoiu
hodgvwajtf,910,0.083,-0.3185,815,-0.439,0.125
exrlcrjpdx,-48,cat,czhrgcsart,wnhjhcvdgl,osnchefhwz,-0.0485
0.166,-633,pnkgtkdwue,-32,-863,dOg,0.148
thdrnbugoi,57,zhwxsmfzrd,60,dmstljthqy,CAt,rrghizdovh
CAt,wojbhdnzsz,869,-0.022,rsvyilrykz,-0.408,0.0775
otiymymnfa,eprnficdso,wcdfqjuccf,0.437,rlvwwitzou,0.1155,195
-132,0.3575,504,hwbtjshgbm,-800,kijbaxdtmh,583
0.197,-0.1275,359,-373,gajgrnxezl,wscotwiprm,0.204
miivefcjkc,DoG,yttbvveduu,0.3785,zrqgfeedae,0.2175,-0.092
swfrwcfksf,-0.2905,noltachktf,gxuraetyyj,dog,609,-884
-902,296,210,cAT,125,189,0.037
-522,doG,-103,-0.388,0.0085,dog,-0.1195
-0.3375,bqwtfcdaev,0.2135,0.395,tsrfsxktdl,-0.499,712
dOG,-0.357,vxjjjhihnq,-977,enihunrpwg,651,-937
-0.067,455,DoG,tpctixpvrt,xdiwopvdbl,162,130
jwfmglqtyp,lohpzcrkpd,DOG,dcqrptzyec,-171,-55,zfncuhylej
280,DoG,953,0.4185,0.0205,0.123,cAT
329,doG,-133,mqtizmniry,eubqeeayfy,484,DOG
CAT,dhyyaxkhnv,649,vhqexrscab,649,-461,tvwmscseai
