nnagphvylw,ntymuedhzn,rikiccakvi,hsdrzvewor,ogxlzqvqel,mzuxglquma,bjnauxfcdm
-0.2035,26,424,0.3195,cocgazdsrw,caT,cAT
CaT,202,590,-716,glkjalectn,-0.289,0.097
-0.4725,0.449,CaT,caT,pdekvqlyty,uxcyudxxin,-43
0.126,-997,DOG,txsuumumta,oilpkmfuuh,0.2045,49
lfoaazflju,514,yqprbfbhgc,caT,421,dlhpemwiuj,llvartdkys
-0.0435,-0.2295,pwjdlkztdx,zusbjchtcq,-566,qsnkbxooeo,46
-524,uexuntoiut,ghgjxxcvoy,yjovbnxlho,eurkmgnmjv,cAt,958
-0.3545,136,-0.422,ioearmvjwi,848,yobulomlml,-129
cat,foqpjwjiyb,-0.1405,caT,-947,-0.0035,vcsbslracd
852,nxkxzqycfk,-197,-212,-0.2125,942,jbpihxakxa
340,-0.0885,Dog,0.29,-0.223,dOG,DOG
0.2165,965,-0.385,-395,vtnwrmgiyy,-896,oryxrdzhbz
-631,-402,nhyofniihl,CAt,CaT,521,0.321
0.4415,-436,oibeptciuf,0.415,-0.2535,jyzybuaiau,-0.3395
caT,-0.3955,wpylbjdwdi,Dog,0.117,981,CAt
-667,-912,-529,uuxwylmdwg,CaT,-0.3565,bwmsceqmtz
63,axweabudpi,979,eqcposkovh,350,0.156,50
21,0.0225,hdmnpmueqk,dafuedbytq,188,-850,0.2875
0.37,0.096,-109,-0.1835,hcexazbwlh,0.0485,-0.2795
124,0.221,0.046,vlewodctpv,912,zkpihgdrhj,-0.083
akpzefthbz,CaT,483,-0.0485,hovninxvjm,-91,cat
