iwqlaaucoh,ejkrmizukf,sbvqhinqvd,Pet,hmuuohqoci
lyvmknugaj,0.357,-630,DoG,umwpkpchox
368,dhgnbnvtob,DoG,CAt,CAT
965,-0.172,-748,doG,adiwkefevz
235,mqkkgiothz,alkhjyzhbn,cAt,-555
-0.1885,cdjmuobyzw,vovllssapp,CAt,-902
vookweeoju,42,Cat,cAt,vznmmotlgg
0.184,Dog,ghgxxvfrjl,dog,182
fbnzumfeoi,885,372,DOg,418
0.359,120,-169,DoG,0.0415
-0.057,rfmgsugozc,-55,CAT,-579
wmgcljgzqu,-644,gikqjjytjg,-915,atsnqtyano
0.2745,73,CAT,gjvvcuhpzt,-284
tnurwuggbs,enswjghlzi,-729,-0.208,-339
qbaaiukpcd,-630,0.096,wbvmhocsit,291
Cat,-655,dOg,DoG,491
-884,-595,Dog,Dog,-524
-0.274,kxnnclusxd,xkbbmixyhe,dOG,Cat
DoG,bvvbvpdyno,859,temhetrjpz,-901
dzgdmotrkt,vdmltfbwpx,ijetgabrjk,0.4275,587
hkesgyrius,-621,quwcdwrelw,DOG,rgaqmwgeez
646,295,-0.015,doG,jcaupojfhs
205,-270,-0.126,cihyamwssm,-529
caT,tekxkoxuez,cAT,ugnrwaxemh,idqbtjlfye
woawnerukz,DOG,DOg,DOG,-0.459
-0.29,cAT,-0.2835,964,0.047
0.402,jjdqbueygy,gkskmwchdk,telvukhomn,-0.3035
CAT,-195,-0.266,dog,-0.3505
yknnjgefco,cocypowsqe,dOg,CAT,lglcixldqg
0.268,irwzlccggv,980,Cat,-0.003
-983,bnijnlrtzo,apmmkaulou,Cat,mewrwuryoo
-0.499,pshxadbcsh,-222,dog,214
-0.096,-0.1045,Dog,rjxhkumftw,ftydzehjjs
-0.201,DoG,doG,dOG,jvksvnstjn
Dog,0.179,swvttrvrik,cAt,bhiuksphyq
0.1475,-0.3255,-0.47,DOG,fvuvuyxazh
kskzrgxfjq,ddrshocttv,cAt,0.3865,0.1195
-945,cAt,0.223,dOg,owmqigvnyo
CAt,nrlazhesip,ijbhcbspja,DOG,-582
zdhtnlykog,npmakaabwo,xazhinpehq,cat,qugvuedyrm
33,ccmidineqf,-0.4295,cAt,-657
-0.3505,-710,-466,Cat,-0.2005
xqcvmjbilk,220,-506,dOG,btsydgurmn
0.0565,0.478,50,CAT,cat
908,838,areudmukfn,Dog,854
shlymeraey,tolkioesdz,888,Dog,Dog
-226,435,73,dog,0.1775
497,-0.0105,0.4325,caT,0.364
491,-0.1385,cpzochpgsi,CAT,xfokpimasr
711,-0.196,-361,cAt,162
xbfffskhbo,-0.2555,-0.069,0.346,-732
-0.187,0.4595,441,dog,572
Dog,cat,0.049,0.0645,jxfrydicct
dhqgskgkvf,-681,-465,CAT,-0.3285
972,-0.261,-0.477,dOg,-404
-401,-828,cvozkfyivp,CAT,caT
-633,-0.233,924,caT,lecwoskwpf
cjvjbqsinp,-0.4785,DOg,caT,-0.4985
ltzpvhqdss,-0.177,-533,doG,508
eeroykimib,323,sghnfqdrdx,doG,dqeslsinyv
DoG,0.1895,doG,DoG,0.0365
-0.45,0.0265,doG,CaT,0.4235
shilaasdel,yyifbwvsgr,jfsqezipgh,Cat,-537
-0.1465,DOG,dog,Cat,umymamylwc
dog,caT,cat,dog,binrqncxdm
705,xnjtmfulkz,749,cAT,ljwjcnbjsv
0.3675,-72,uqkwaphskv,DoG,538
khpvocfxjz,0.0805,-470,DoG,-985
