hcznpafivn,gomplfhlfy,gglklmzlqq,dgkegnidci,qewpggapck,vafnzjjbud,zribbmuugq
ywykxuvgvz,dOG,0.043,0.402,312,doG,475
cAt,euhhsvskhs,-0.454,nnrpgyhbdb,913,ywtzmdmyey,dog
33,cAt,cat,-0.389,-526,mpcgntyfkd,kdqaaqskae
141,caT,wpkeqhfnrf,pxpwiciywz,dvutkfavxi,ayjcundcac,doyxjptbdo
dog,oglnzmyiyc,pmwodtaywb,ogmurnahdx,-0.3835,dOg,aqaofiaouc
cAt,csqrywrprg,-0.291,-205,-207,0.3315,ehdwspgekg
-0.1355,Dog,ydvkpbrabq,-623,-294,6,634
bnuxwtlkyo,-787,-447,0.101,CAt,987,DOg
ezopxlghgj,-0.498,-403,-880,397,981,-59
121,-529,-837,-0.284,qgbulqdgvd,-0.0575,-649
CAt,fytaftyjml,-146,ldgxyrqnrg,CAT,oykjaoeaim,xsxdwgkuog
0.2925,jjwsldirnx,-0.366,CAT,-0.34,sguesewtsj,-0.1025
0.203,paojovnirx,-887,0.466,dOg,0.286,-728
0.3935,898,0.417,0.032,0.1145,edtwwjfvmc,cAT
0.182,128,-850,oefojnbngf,cAT,Dog,jlaytwtxnv
-932,0.3125,wauetlwrbu,xyoyjhqgtr,ogtuncyack,CAT,Dog
-0.142,bozdugoxcp,241,vkyytlbmor,-869,859,-840
ywocakyhav,628,doG,ehsgbroxtr,-0.279,pccgzoukvc,-580
rymgpyymue,264,gapewfmkef,-594,0.375,bvqhzluloq,-774
wqmeditbok,cat,zyhbtgfbwu,xtdvzzwuox,-0.0375,0.388,-19
-0.3225,miimsaxbqc,dog,Dog,CaT,900,-0.368
-514,977,CAT,-0.4125,emxmrntuek,lljhuzrwld,306
-0.0905,zlnkwwzzje,0.0405,ktnbluqoxz,-966,tsukwdumgv,kcvywybrue
hwrmdbwneg,327,bccjyxvyjx,dOg,0.2715,49,yvluhubiho
727,-0.426,-0.3965,-0.254,195,-0.31,caT
kkpthryuic,-0.416,-0.463,wbktwqnvec,-896,vbudrokelh,0.469
oentzpkswd,0.2545,DOg,646,CAt,451,doG
-0.1165,0.304,0.0125,ywhmavibvy,-0.4455,-922,910
-0.0335,CAT,134,661,-437,-562,rsgstrjxih
dOg,Dog,-0.314,cAT,-9,0.396,-0.295
0.1965,-0.318,0.222,0.462,699,0.2665,-0.3895
sajjmsxwez,-345,DOg,cAt,orlmavnhcu,939,-479
-789,aofcqfiaqx,-0.3945,-643,CAT,dOG,0.0025
349,ljqlnivnyp,-0.3565,DOg,72,Cat,504
niqwcvhaau,490,vhofklbudg,qgrmvkskxw,joskdxbisi,DOg,xssxbenupp
wjygwplzfy,kqkhvgmdqf,znzsxewyvp,-396,cAt,crxdyzdcrd,-0.3895
-0.0555,-0.0595,caT,49,-245,815,DOG
0.44,doG,dOG,998,stkvkzudrx,0.457,uydltwkpmf
xewdyebnpu,ogtgirwktl,-0.0305,276,cat,0.098,DOg
924,-0.269,538,yoexznrftd,0.261,0.0475,-0.1315
dfcqbutxip,0.4125,cAT,jowxwocxdg,caT,-404,enzrfookaf
pzdvepvqnh,0.2225,oyxszlzhot,-204,374,0.3145,91
wdlpxvlapn,-0.0935,vpyolememu,-0.287,sleyrzzmwi,cwohlarhbb,-328
-702,qprsosidhm,-974,CAt,155,hdlpkgagia,-0.2045
0.318,pseurctovq,0.4585,Dog,-241,bksjxxxdgv,-0.0435
0.224,Dog,mhodbcpakf,543,oerafnudjj,-926,dog
-0.3065,tfrftnceej,960,xorbqapuhq,txrkammlgs,-312,0.496
xyadiyccxs,-0.4215,mrlbusxank,kcxvuxxpki,trozomxdqt,-0.3735,CAt
0.2855,ouvjtjvyho,siznilqidj,DoG,-0.0835,213,-783
-20,216,853,fkirxjotai,0.3355,0.3225,463
-0.2485,-0.2535,0.4605,ufbrmmazxd,dOg,DOg,-0.419
DOG,-125,rqlxwfydkm,caT,Dog,178,0.3995
-631,caT,583,fjzhsgtcxo,0.131,216,0.1385
Dog,-0.0875,jjxlzptrau,menfeavlws,dOG,835,-0.2225
